project_name,stars_passed,stars,forks,contributors,commits,commiters
infracost/infracost,0.425314465408805,8048,379,30,2073,74
returntocorp/semgrep,0.37777777777777777,7223,389,30,4217,131
deckgo/deckdeckgo,0.6351351351351351,1517,156,30,6756,61
hashicorp/best-practices,0.5,1484,433,14,465,18
aws-ia/terraform-aws-eks-blueprints,0.9509345794392523,1216,590,30,85,3
terraform-compliance/cli,0.6139154160982264,1191,138,30,1121,40
philips-labs/terraform-aws-github-runner,0.9103448275862069,1141,341,30,1688,92
nozaq/terraform-aws-secure-baseline,0.9826388888888888,928,311,30,340,38
fugue/regula,0.6108007448789572,788,87,24,352,27
ine-labs/AWSGoat,0.5263157894736842,753,243,3,17,4
dan-v/awslambdaproxy,0.6771653543307087,710,87,3,86,4
maddevsio/aws-eks-base,0.9178082191780822,572,85,15,488,21
controlplaneio/simulator,0.5714285714285714,570,78,13,1532,18
antonputra/tutorials,0.6366412213740458,483,782,5,156,5
kubernetes/k8s.io,0.8571428571428571,408,560,30,8354,406
alphagov/govuk-aws,0.890650274991912,392,63,30,3624,98
defenseunicorns/zarf,0.5,379,57,30,845,39
shellphish/ictf-framework,0.4,323,89,8,180,8
aws-ia/terraform-aws-control_tower_account_factory,0.8929889298892989,325,166,3,48,4
aws/aws-xray-sdk-python,0.5,284,129,30,314,80
asteris-llc/converge,0.5145631067961165,254,32,14,2110,20
compiler-explorer/infra,0.7458333333333333,248,176,30,3036,169
avantoss/vault-infra,0.86,215,42,8,110,9
fpco/terraform-aws-foundation,0.8001841620626151,195,90,20,1082,28
servian/hashiqube,0.8205128205128205,172,41,2,110,2
ned1313/Deep-Dive-Terraform,0.672566371681416,145,476,5,141,7
JamesWoolfenden/pike,0.59375,158,8,3,304,6
xuwang/aws-terraform,0.4819277108433735,132,52,6,459,5
ts-rest/ts-rest,0.8095238095238095,145,4,5,281,5
lisenet/kubernetes-homelab,0.9,140,66,2,444,2
inspec/inspec-aws,0.5271317829457365,126,95,30,4140,84
zenml-io/mlops-stacks,0.5454545454545454,125,7,5,233,5
anttiviljami/wordpress-heroku-docker-project,0.38461538461538464,118,44,3,110,5
turbot/steampipe-plugin-aws,0.7413024085637824,106,40,30,698,48
databricks/delta-live-tables-notebooks,0.7346938775510204,118,106,10,117,16
magenx/Magento-2-aws-cluster-terraform,0.78,100,34,1,1335,2
robert-stuttaford/terraform-example,0.4088050314465409,98,11,2,6,2
aws-samples/terraform-eks-code,0.8402366863905325,96,95,2,776,2
terraform-aws-modules/terraform-aws-apigateway-v2,0.625,94,140,21,74,21
rust-lang/simpleinfra,0.7319778188539742,88,49,27,786,30
alphagov/govuk-infrastructure,0.9151515151515152,85,16,24,1870,33
facebookresearch/fbpcs,0.8545454545454545,82,129,30,1782,141
LouisvilleMetro/WazeCCPProcessor,0.38666666666666666,80,24,5,177,5
segment-boneyard/s3-dynamo-lambda,0.5384615384615384,77,9,2,28,3
denoland/deno_registry2,0.7071428571428572,77,18,6,171,6
cerbo/aws-waf-security-automation,0.759493670886076,73,28,2,20,5
euan-forrester/save-file-converter,0.803921568627451,73,0,2,213,3
openfun/marsha,0.7083333333333334,71,15,22,2724,27
tapglue/snaas,0.7102803738317757,66,21,4,275,4
divviup/prio-server,0.6935483870967742,66,15,14,2310,14
cloud-gov/cg-provision,0.85431654676259,63,21,30,2030,48
Smartling/aws-terraform-workshops,0.5,60,102,0,9,1
mozmeao/infra,0.5462555066079295,58,11,13,3036,169
silverton-io/buz,0.8653846153846154,72,9,7,342,9
csanquer/gitlab-setup,0.5333333333333333,56,29,2,21,2
slalompdx/terraform-aws-codecommit-cicd,0.8695652173913043,52,53,5,31,6
lingrino/infra-personal,0.9461077844311377,49,11,2,2074,2
PrefectHQ/prefect-recipes,0.8838709677419355,57,4,14,455,19
berislavlopac/plambdapi,0.2727272727272727,49,7,1,6,1
chef-boneyard/inspec-aws-old,0.4868421052631579,46,20,14,128,19
mattermost/mattermost-cloud-monitoring,0.8315789473684211,46,18,11,431,14
basecamp/dumpsterfire-2020,0.6666666666666666,45,3,2,5,3
nickpisacane/websync,0.25,44,2,3,255,4
gerhalt/mining-camp,0.5909090909090909,43,7,2,47,3
moritzzimmer/terraform-aws-lambda,0.8620689655172413,43,26,9,202,9
pivotal/paving,0.8106060606060606,42,41,20,440,27
assareh/tfc-agent,0.8133333333333334,44,30,1,131,2
vmware-tanzu/service-installer-for-vmware-tanzu,0.5853658536585366,38,23,1,7,3
johnbedeir/Devops-Tools-Documentation,0.5666666666666667,40,46,1,525,3
dcaribou/transfermarkt-datasets,0.8666666666666667,36,16,5,205,7
somleng/somleng,0.7692307692307693,33,8,7,1552,6
uc-cdis/cloud-automation,0.8362831858407079,33,63,30,2789,81
arehmandev/Terraform-etcd,0.6111111111111112,31,3,0,69,2
uzochukwueddie/react-cinema-app,0.8333333333333334,30,23,3,66,4
open-apparel-registry/open-apparel-registry,0.8930817610062893,29,11,16,2672,21
mdb/terraform-example,0.2727272727272727,28,24,1,6,2
knakayama/aws-terraform-playground,0.4415659182498561,26,19,1,258,2
devopsloft/devopsloft,0.7058823529411765,27,100,23,1191,40
AztecProtocol/Setup,0.7483870967741936,27,10,3,375,5
futurice/symptomradar,0.625,25,2,13,1128,20
Artemmkin/codedeploy-terraform,0.6666666666666666,25,36,1,3,1
