Project Name,Policy ID,Evaluation
deckgo/deckdeckgo,POL34,BOTH
deckgo/deckdeckgo,POL98,NONE
deckgo/deckdeckgo,POL99,NONE
terraform-compliance/cli,POL34,NONE
philips-labs/terraform-aws-github-runner,POL91,BOTH
philips-labs/terraform-aws-github-runner,POL92,BOTH
philips-labs/terraform-aws-github-runner,POL96,BOTH
philips-labs/terraform-aws-github-runner,POL98,BOTH
philips-labs/terraform-aws-github-runner,POL99,BOTH
nozaq/terraform-aws-secure-baseline,POL91,BOTH
nozaq/terraform-aws-secure-baseline,POL92,BOTH
nozaq/terraform-aws-secure-baseline,POL96,BOTH
ine-labs/AWSGoat,POL34,BOTH
ine-labs/AWSGoat,POL98,NONE
ine-labs/AWSGoat,POL99,NONE
maddevsio/aws-eks-base,POL91,BOTH
maddevsio/aws-eks-base,POL92,BOTH
maddevsio/aws-eks-base,POL96,BOTH
maddevsio/aws-eks-base,POL98,BOTH
maddevsio/aws-eks-base,POL99,BOTH
controlplaneio/simulator,POL98,NONE
controlplaneio/simulator,POL99,NONE
antonputra/tutorials,POL38,TFSEC
defenseunicorns/zarf,POL98,NONE
defenseunicorns/zarf,POL99,NONE
aws/aws-xray-sdk-python,POL91,NONE
aws/aws-xray-sdk-python,POL92,NONE
aws/aws-xray-sdk-python,POL96,NONE
aws/aws-xray-sdk-python,POL98,TFSEC
aws/aws-xray-sdk-python,POL99,TFSEC
asteris-llc/converge,POL98,NONE
asteris-llc/converge,POL99,NONE
avantoss/vault-infra,POL98,NONE
avantoss/vault-infra,POL99,NONE
ts-rest/ts-rest,POL91,BOTH
ts-rest/ts-rest,POL92,BOTH
ts-rest/ts-rest,POL96,BOTH
ts-rest/ts-rest,POL98,BOTH
ts-rest/ts-rest,POL99,BOTH
inspec/inspec-aws,POL14,NONE
inspec/inspec-aws,POL34,BOTH
inspec/inspec-aws,POL38,NONE
inspec/inspec-aws,POL88,BOTH
inspec/inspec-aws,POL98,NONE
inspec/inspec-aws,POL99,NONE
zenml-io/mlops-stacks,POL91,BOTH
zenml-io/mlops-stacks,POL92,BOTH
zenml-io/mlops-stacks,POL96,NONE
zenml-io/mlops-stacks,POL98,CHECKOV
zenml-io/mlops-stacks,POL99,BOTH
anttiviljami/wordpress-heroku-docker-project,POL34,NONE
anttiviljami/wordpress-heroku-docker-project,POL98,NONE
anttiviljami/wordpress-heroku-docker-project,POL99,NONE
turbot/steampipe-plugin-aws,POL34,BOTH
turbot/steampipe-plugin-aws,POL38,NONE
turbot/steampipe-plugin-aws,POL98,NONE
turbot/steampipe-plugin-aws,POL99,NONE
databricks/delta-live-tables-notebooks,POL34,BOTH
databricks/delta-live-tables-notebooks,POL91,NONE
