Project Name,Policy ID,Evaluation
philips-labs/terraform-aws-github-runner,POL47,BOTH
antonputra/tutorials,POL05,BOTH
asteris-llc/converge,POL05,BOTH
servian/hashiqube,POL05,BOTH
turbot/steampipe-plugin-aws,POL47,BOTH
divviup/prio-server,POL05,CHECKOV
csanquer/gitlab-setup,POL05,BOTH
lingrino/infra-personal,POL05,BOTH
PrefectHQ/prefect-recipes,POL05,BOTH
mattermost/mattermost-cloud-monitoring,POL47,BOTH
johnbedeir/Devops-Tools-Documentation,POL05,CHECKOV
somleng/somleng,POL05,BOTH
robertdebock/terraform-aws-vault,POL05,BOTH
projecthorus/sondehub-infra,POL47,BOTH
gravitational/teleport-cluster-terraform,POL05,BOTH
NHSDigital/spine-core-aws-common,POL05,BOTH
aws-samples/aws-waf-automation-terraform-samples,POL05,BOTH
tedilabs/terraform-aws-misc,POL47,BOTH
jeastham1993/application-integration-patterns,POL47,BOTH
in4it/terraform-aws-cis-controls,POL05,BOTH
alphagov/di-authentication-api,POL47,BOTH
artichoke/project-infrastructure,POL05,BOTH
podhmo/individual-sandbox,POL05,CHECKOV
tdooner/flynn,POL05,BOTH
EricLondon/terraform-ecs-express,POL05,BOTH
paulmarsicloud/terraform-aws-openvpn-ephemeral,POL05,BOTH
BielosX/AWS-developer,POL47,BOTH
keithsjohnson/AWSServerlessFeedbackDemo,POL05,CHECKOV
lazam/terraform-ansible,POL05,BOTH
nsbno/app-infrastructure,POL05,BOTH
seigot/tetris_score_server,POL05,BOTH
ministryofjustice/opg-lpa,POL05,BOTH
ministryofjustice/opg-lpa,POL47,BOTH
