Project Name,Policy ID,Evaluation
infracost/infracost,POL15,CHECKOV
deckgo/deckdeckgo,POL46,NONE
deckgo/deckdeckgo,POL93,NONE
terraform-compliance/cli,POL11,NONE
terraform-compliance/cli,POL17,NONE
terraform-compliance/cli,POL32,NONE
terraform-compliance/cli,POL46,BOTH
terraform-compliance/cli,POL48,TFSEC
terraform-compliance/cli,POL58,BOTH
terraform-compliance/cli,POL90,NONE
philips-labs/terraform-aws-github-runner,POL46,BOTH
philips-labs/terraform-aws-github-runner,POL93,NONE
nozaq/terraform-aws-secure-baseline,POL70,BOTH
nozaq/terraform-aws-secure-baseline,POL71,BOTH
nozaq/terraform-aws-secure-baseline,POL81,BOTH
ine-labs/AWSGoat,POL16,NONE
ine-labs/AWSGoat,POL28,TFSEC
ine-labs/AWSGoat,POL58,NONE
ine-labs/AWSGoat,POL93,NONE
ine-labs/AWSGoat,POL107,NONE
ine-labs/AWSGoat,POL111,TFSEC
maddevsio/aws-eks-base,POL93,BOTH
controlplaneio/simulator,POL93,NONE
defenseunicorns/zarf,POL93,NONE
shellphish/ictf-framework,POL90,NONE
aws-ia/terraform-aws-control_tower_account_factory,POL46,BOTH
aws-ia/terraform-aws-control_tower_account_factory,POL70,BOTH
aws-ia/terraform-aws-control_tower_account_factory,POL71,CHECKOV
aws-ia/terraform-aws-control_tower_account_factory,POL93,BOTH
aws/aws-xray-sdk-python,POL93,BOTH
asteris-llc/converge,POL93,NONE
compiler-explorer/infra,POL35,NONE
compiler-explorer/infra,POL46,NONE
compiler-explorer/infra,POL58,NONE
compiler-explorer/infra,POL81,NONE
compiler-explorer/infra,POL93,NONE
avantoss/vault-infra,POL93,NONE
ts-rest/ts-rest,POL93,NONE
inspec/inspec-aws,POL13,NONE
inspec/inspec-aws,POL16,NONE
inspec/inspec-aws,POL28,TFSEC
inspec/inspec-aws,POL41,NONE
inspec/inspec-aws,POL58,NONE
inspec/inspec-aws,POL64,BOTH
inspec/inspec-aws,POL69,NONE
inspec/inspec-aws,POL90,NONE
inspec/inspec-aws,POL107,NONE
inspec/inspec-aws,POL111,TFSEC
zenml-io/mlops-stacks,POL90,NONE
zenml-io/mlops-stacks,POL93,NONE
anttiviljami/wordpress-heroku-docker-project,POL93,NONE
turbot/steampipe-plugin-aws,POL09,NONE
turbot/steampipe-plugin-aws,POL11,NONE
turbot/steampipe-plugin-aws,POL13,NONE
turbot/steampipe-plugin-aws,POL15,CHECKOV
turbot/steampipe-plugin-aws,POL16,NONE
turbot/steampipe-plugin-aws,POL17,NONE
turbot/steampipe-plugin-aws,POL28,TFSEC
turbot/steampipe-plugin-aws,POL41,NONE
turbot/steampipe-plugin-aws,POL46,NONE
turbot/steampipe-plugin-aws,POL48,TFSEC
turbot/steampipe-plugin-aws,POL57,NONE
turbot/steampipe-plugin-aws,POL58,NONE
turbot/steampipe-plugin-aws,POL64,NONE
turbot/steampipe-plugin-aws,POL69,NONE
turbot/steampipe-plugin-aws,POL70,NONE
turbot/steampipe-plugin-aws,POL71,TFSEC
