Project Name,Policy ID,Evaluation
deckgo/deckdeckgo,POL101,BOTH
terraform-compliance/cli,POL56,BOTH
ine-labs/AWSGoat,POL55,NONE
ine-labs/AWSGoat,POL56,TFSEC
antonputra/tutorials,POL55,NONE
compiler-explorer/infra,POL101,BOTH
avantoss/vault-infra,POL55,TFSEC
ts-rest/ts-rest,POL101,BOTH
inspec/inspec-aws,POL43,CHECKOV
inspec/inspec-aws,POL44,CHECKOV
inspec/inspec-aws,POL55,NONE
inspec/inspec-aws,POL56,TFSEC
inspec/inspec-aws,POL65,NONE
inspec/inspec-aws,POL67,BOTH
turbot/steampipe-plugin-aws,POL43,CHECKOV
turbot/steampipe-plugin-aws,POL44,CHECKOV
turbot/steampipe-plugin-aws,POL55,NONE
turbot/steampipe-plugin-aws,POL56,TFSEC
turbot/steampipe-plugin-aws,POL65,NONE
rust-lang/simpleinfra,POL55,BOTH
rust-lang/simpleinfra,POL67,BOTH
rust-lang/simpleinfra,POL101,BOTH
alphagov/govuk-infrastructure,POL65,NONE
denoland/deno_registry2,POL101,BOTH
euan-forrester/save-file-converter,POL101,BOTH
openfun/marsha,POL101,BOTH
mattermost/mattermost-cloud-monitoring,POL44,BOTH
mattermost/mattermost-cloud-monitoring,POL56,BOTH
basecamp/dumpsterfire-2020,POL101,BOTH
pivotal/paving,POL56,BOTH
somleng/somleng,POL101,BOTH
uzochukwueddie/react-cinema-app,POL101,BOTH
open-apparel-registry/open-apparel-registry,POL55,TFSEC
open-apparel-registry/open-apparel-registry,POL56,TFSEC
open-apparel-registry/open-apparel-registry,POL101,BOTH
AztecProtocol/Setup,POL55,TFSEC
uktrade/data-workspace,POL43,NONE
uktrade/data-workspace,POL44,BOTH
uktrade/data-workspace,POL67,BOTH
futurice/symptomradar,POL101,BOTH
alphagov/prometheus-aws-configuration-beta,POL55,TFSEC
alphagov/prometheus-aws-configuration-beta,POL56,BOTH
azavea/isprs-potsdam-viz,POL101,BOTH
somleng/somleng-switch,POL56,BOTH
somleng/somleng-switch,POL67,BOTH
PaloAltoNetworks/terraform-aws-vmseries-modules,POL56,TFSEC
spkane/todo-for-terraform,POL55,NONE
spkane/todo-for-terraform,POL56,TFSEC
cds-snc/forms-terraform,POL55,BOTH
cds-snc/forms-terraform,POL56,BOTH
cds-snc/forms-terraform,POL65,NONE
robertdebock/terraform-aws-vault,POL55,TFSEC
privacysandbox/fledge-key-value-service,POL55,TFSEC
privacysandbox/fledge-key-value-service,POL56,TFSEC
clojars/infrastructure,POL55,TFSEC
zeroabsolute/Terraform-AWS-ECS,POL55,NONE
zeroabsolute/Terraform-AWS-ECS,POL56,TFSEC
projecthorus/sondehub-infra,POL43,BOTH
projecthorus/sondehub-infra,POL44,BOTH
projecthorus/sondehub-infra,POL55,TFSEC
projecthorus/sondehub-infra,POL56,BOTH
boldare/terraform-modules,POL101,BOTH
gravitational/teleport-cluster-terraform,POL55,BOTH
stellar/java-stellar-anchor-sdk,POL67,BOTH
alphagov/verify-infrastructure,POL65,BOTH
alphagov/verify-infrastructure,POL67,BOTH
cds-snc/notification-terraform,POL55,TFSEC
cds-snc/notification-terraform,POL101,BOTH
alimac/terraform-s3,POL101,BOTH
umccr/infrastructure,POL55,TFSEC
umccr/infrastructure,POL101,BOTH
hygieia-saas/hygieia-webapp,POL101,BOTH
usdigitalresponse/univaf,POL55,CHECKOV
usdigitalresponse/univaf,POL56,TFSEC
divgo/terraform,POL101,BOTH
alphagov/govwifi-terraform,POL43,CHECKOV
alphagov/govwifi-terraform,POL44,CHECKOV
alphagov/govwifi-terraform,POL67,BOTH
seiji/terraform-aws-modules,POL44,CHECKOV
seiji/terraform-aws-modules,POL55,TFSEC
seiji/terraform-aws-modules,POL56,BOTH
seiji/terraform-aws-modules,POL65,NONE
seiji/terraform-aws-modules,POL101,BOTH
lambdasawa/lambdasawa,POL55,NONE
lambdasawa/lambdasawa,POL56,TFSEC
EnigmaCurry/terraform-serverless-spa,POL101,BOTH
CirclesUBI/infrastructure-provisioning,POL55,TFSEC
CirclesUBI/infrastructure-provisioning,POL101,BOTH
alphagov/di-authentication-api,POL65,BOTH
BlackNightFury/modular-web-app,POL43,NONE
