Project Name,Policy ID,Evaluation
infracost/infracost,POL27,BOTH
terraform-compliance/cli,POL27,BOTH
fugue/regula,POL26,BOTH
fugue/regula,POL110,BOTH
ine-labs/AWSGoat,POL27,BOTH
dan-v/awslambdaproxy,POL27,BOTH
controlplaneio/simulator,POL27,BOTH
antonputra/tutorials,POL27,BOTH
antonputra/tutorials,POL37,TFSEC
shellphish/ictf-framework,POL27,BOTH
asteris-llc/converge,POL27,BOTH
compiler-explorer/infra,POL26,BOTH
compiler-explorer/infra,POL27,BOTH
compiler-explorer/infra,POL110,BOTH
inspec/inspec-aws,POL26,BOTH
inspec/inspec-aws,POL27,BOTH
inspec/inspec-aws,POL37,NONE
inspec/inspec-aws,POL110,BOTH
turbot/steampipe-plugin-aws,POL27,BOTH
turbot/steampipe-plugin-aws,POL37,NONE
aws-samples/terraform-eks-code,POL26,BOTH
aws-samples/terraform-eks-code,POL37,BOTH
aws-samples/terraform-eks-code,POL110,BOTH
rust-lang/simpleinfra,POL27,BOTH
tapglue/snaas,POL27,BOTH
cloud-gov/cg-provision,POL27,BOTH
csanquer/gitlab-setup,POL27,BOTH
chef-boneyard/inspec-aws-old,POL27,BOTH
mattermost/mattermost-cloud-monitoring,POL37,NONE
assareh/tfc-agent,POL27,BOTH
vmware-tanzu/service-installer-for-vmware-tanzu,POL27,BOTH
johnbedeir/Devops-Tools-Documentation,POL27,BOTH
knakayama/aws-terraform-playground,POL27,BOTH
AztecProtocol/Setup,POL27,BOTH
uktrade/data-workspace,POL27,BOTH
Artemmkin/codedeploy-terraform,POL27,BOTH
cednore/trilium,POL27,BOTH
pytorch/test-infra,POL27,BOTH
dfds/infrastructure-modules,POL27,BOTH
f5devcentral/f5-k8s-demo,POL27,BOTH
tkellen/infrastructure,POL27,BOTH
JeanMertz/terraform-dcos,POL27,BOTH
PaloAltoNetworks/terraform-aws-vmseries-modules,POL26,BOTH
PaloAltoNetworks/terraform-aws-vmseries-modules,POL27,BOTH
PaloAltoNetworks/terraform-aws-vmseries-modules,POL110,BOTH
apache/accumulo-testing,POL27,BOTH
spkane/todo-for-terraform,POL27,BOTH
chgasparoto/youtube-cleber-gasparoto,POL27,BOTH
jakeasarus/terraform,POL27,BOTH
ministryofjustice/modernisation-platform-environments,POL26,BOTH
ministryofjustice/modernisation-platform-environments,POL27,BOTH
ministryofjustice/modernisation-platform-environments,POL110,BOTH
primait/nuvola,POL27,BOTH
juttayaya/devops,POL27,BOTH
robertdebock/terraform-aws-vault,POL26,BOTH
robertdebock/terraform-aws-vault,POL27,BOTH
robertdebock/terraform-aws-vault,POL110,BOTH
privacysandbox/fledge-key-value-service,POL26,BOTH
privacysandbox/fledge-key-value-service,POL27,BOTH
privacysandbox/fledge-key-value-service,POL110,BOTH
raavula/devops,POL37,NONE
boldare/terraform-modules,POL27,BOTH
asquarezone/TerraformZone,POL27,BOTH
gravitational/teleport-cluster-terraform,POL27,BOTH
alphagov/verify-infrastructure,POL27,BOTH
cds-snc/notification-terraform,POL37,NONE
alphagov/govwifi-terraform,POL27,BOTH
Miyurz/aws-k8s,POL37,NONE
seiji/terraform-aws-modules,POL26,BOTH
seiji/terraform-aws-modules,POL27,BOTH
seiji/terraform-aws-modules,POL37,NONE
seiji/terraform-aws-modules,POL110,BOTH
lambdasawa/lambdasawa,POL27,BOTH
maidsafe-archive/safe-build-infrastructure,POL27,BOTH
Nakulbajaj101/mlops-zoomcamp-final-project,POL27,BOTH
arehmandev/abs-kubelab,POL27,BOTH
afloesch/learning-terraform,POL27,BOTH
alexisCata/terraform_ansible_deploy,POL27,BOTH
felix-lessoer/elastic-terraform-examples,POL27,BOTH
Terraform-GUI/terraform-gui,POL27,BOTH
mitre/demo-aws-hardening,POL27,BOTH
e-valente/cloudgoat-with-steroids,POL27,BOTH
jay-jain/aws-terraform,POL27,BOTH
jay-jain/aws-terraform,POL37,NONE
sighupio/fury-eks-installer,POL27,BOTH
bootcamp-team2022/angular-frontend,POL27,BOTH
cyakimov/terraform-scaffold,POL27,BOTH
CityOfPhiladelphia/oddt-terraform,POL27,BOTH
EricLondon/terraform-ecs-express,POL27,BOTH
tablexi/terraform_modules,POL27,BOTH
tablexi/terraform_modules,POL37,NONE
HackYourFuture/infrastructure,POL27,BOTH
1ultimat3/fuzzied,POL27,BOTH
AgnostiqHQ/covalent-kubernetes-plugin,POL37,NONE
paulmarsicloud/terraform-aws-openvpn-ephemeral,POL27,BOTH
dwp/aws-analytical-env,POL27,BOTH
MrrRaph/wavegame-terraform,POL27,BOTH
wri/gfw-iac-workshop,POL27,BOTH
devopshubproject/aws-catchup,POL37,NONE
temmyzeus/spotify_airflow_batch_ingestion,POL27,BOTH
BielosX/AWS-developer,POL26,BOTH
BielosX/AWS-developer,POL27,BOTH
BielosX/AWS-developer,POL110,BOTH
lazam/terraform-ansible,POL27,BOTH
glaucius/aws-terraform,POL27,BOTH
Artemmkin/terraform-statelock,POL27,BOTH
fernandomullerjr/terraform-aws,POL27,BOTH
OctopusDeploy/Sashimi.Terraform,POL27,BOTH
web-mev/mev-backend,POL27,BOTH
HXSecurity/TerraformGoat,POL27,BOTH
hotosm/underpass,POL27,BOTH
heldersepu/hs-scripts,POL27,BOTH
svthalia/concrexit,POL27,BOTH
nulib/meadow,POL27,BOTH
refinery-platform/refinery-platform,POL27,BOTH
leopardslab/kubebot,POL27,BOTH
49thSecurityDivision/Presentations,POL27,BOTH
