Project Name,Policy ID,Evaluation
terraform-compliance/cli,POL25,BOTH
philips-labs/terraform-aws-github-runner,POL76,CHECKOV
ine-labs/AWSGoat,POL24,BOTH
ine-labs/AWSGoat,POL25,NONE
dan-v/awslambdaproxy,POL76,CHECKOV
controlplaneio/simulator,POL23,BOTH
controlplaneio/simulator,POL25,BOTH
controlplaneio/simulator,POL76,CHECKOV
shellphish/ictf-framework,POL25,NONE
shellphish/ictf-framework,POL76,NONE
aws-ia/terraform-aws-control_tower_account_factory,POL23,BOTH
aws-ia/terraform-aws-control_tower_account_factory,POL25,BOTH
aws-ia/terraform-aws-control_tower_account_factory,POL76,CHECKOV
asteris-llc/converge,POL25,NONE
compiler-explorer/infra,POL25,NONE
avantoss/vault-infra,POL23,BOTH
servian/hashiqube,POL23,CHECKOV
inspec/inspec-aws,POL25,BOTH
inspec/inspec-aws,POL39,NONE
anttiviljami/wordpress-heroku-docker-project,POL23,CHECKOV
anttiviljami/wordpress-heroku-docker-project,POL76,CHECKOV
turbot/steampipe-plugin-aws,POL39,NONE
aws-samples/terraform-eks-code,POL23,BOTH
aws-samples/terraform-eks-code,POL25,BOTH
aws-samples/terraform-eks-code,POL76,CHECKOV
alphagov/govuk-infrastructure,POL23,BOTH
alphagov/govuk-infrastructure,POL76,CHECKOV
openfun/marsha,POL23,BOTH
openfun/marsha,POL25,BOTH
openfun/marsha,POL76,CHECKOV
tapglue/snaas,POL24,BOTH
cloud-gov/cg-provision,POL25,BOTH
PrefectHQ/prefect-recipes,POL23,BOTH
chef-boneyard/inspec-aws-old,POL25,BOTH
mattermost/mattermost-cloud-monitoring,POL24,BOTH
mattermost/mattermost-cloud-monitoring,POL76,CHECKOV
gerhalt/mining-camp,POL23,NONE
gerhalt/mining-camp,POL25,BOTH
gerhalt/mining-camp,POL76,NONE
pivotal/paving,POL25,BOTH
assareh/tfc-agent,POL25,BOTH
assareh/tfc-agent,POL76,CHECKOV
johnbedeir/Devops-Tools-Documentation,POL23,CHECKOV
johnbedeir/Devops-Tools-Documentation,POL76,NONE
somleng/somleng,POL76,CHECKOV
arehmandev/Terraform-etcd,POL23,BOTH
arehmandev/Terraform-etcd,POL76,CHECKOV
devopsloft/devopsloft,POL23,NONE
devopsloft/devopsloft,POL76,NONE
AztecProtocol/Setup,POL25,BOTH
uktrade/data-workspace,POL24,BOTH
uktrade/data-workspace,POL25,BOTH
cednore/trilium,POL25,NONE
azavea/isprs-potsdam-viz,POL76,BOTH
dfds/infrastructure-modules,POL25,BOTH
dfds/infrastructure-modules,POL76,CHECKOV
f5devcentral/f5-k8s-demo,POL23,BOTH
f5devcentral/f5-k8s-demo,POL76,CHECKOV
masterpointio/terraform-aws-ssm-agent,POL76,CHECKOV
tkellen/infrastructure,POL25,NONE
tkellen/infrastructure,POL76,CHECKOV
JeanMertz/terraform-dcos,POL25,BOTH
somleng/somleng-switch,POL76,CHECKOV
ris-tlp/audiophile-e2e-pipeline,POL23,NONE
ris-tlp/audiophile-e2e-pipeline,POL76,NONE
PaloAltoNetworks/terraform-aws-vmseries-modules,POL23,BOTH
spkane/todo-for-terraform,POL76,CHECKOV
primait/nuvola,POL25,NONE
cloudstruct/rocketpool-deploy,POL76,CHECKOV
cds-snc/forms-terraform,POL25,BOTH
aneoconsulting/ArmoniK,POL23,CHECKOV
robertdebock/terraform-aws-vault,POL25,BOTH
zeroabsolute/Terraform-AWS-ECS,POL25,NONE
raavula/devops,POL39,NONE
projecthorus/sondehub-infra,POL23,BOTH
projecthorus/sondehub-infra,POL25,BOTH
boldare/terraform-modules,POL23,BOTH
boldare/terraform-modules,POL76,CHECKOV
gravitational/teleport-cluster-terraform,POL23,BOTH
gravitational/teleport-cluster-terraform,POL24,TFSEC
ajaen4/terraform-databricks-aws,POL22,CHECKOV
ajaen4/terraform-databricks-aws,POL75,CHECKOV
