Project Name,Policy ID,Evaluation
infracost/infracost,POL62,NONE
deckgo/deckdeckgo,POL62,NONE
deckgo/deckdeckgo,POL94,NONE
terraform-compliance/cli,POL62,NONE
philips-labs/terraform-aws-github-runner,POL62,NONE
philips-labs/terraform-aws-github-runner,POL94,CHECKOV
philips-labs/terraform-aws-github-runner,POL103,CHECKOV
nozaq/terraform-aws-secure-baseline,POL80,BOTH
fugue/regula,POL94,NONE
ine-labs/AWSGoat,POL62,NONE
ine-labs/AWSGoat,POL94,NONE
ine-labs/AWSGoat,POL103,NONE
ine-labs/AWSGoat,POL104,NONE
dan-v/awslambdaproxy,POL62,NONE
maddevsio/aws-eks-base,POL80,BOTH
maddevsio/aws-eks-base,POL94,NONE
controlplaneio/simulator,POL94,NONE
defenseunicorns/zarf,POL94,NONE
aws-ia/terraform-aws-control_tower_account_factory,POL62,NONE
aws/aws-xray-sdk-python,POL94,NONE
asteris-llc/converge,POL94,NONE
compiler-explorer/infra,POL62,NONE
compiler-explorer/infra,POL80,BOTH
compiler-explorer/infra,POL94,NONE
ts-rest/ts-rest,POL94,NONE
inspec/inspec-aws,POL42,NONE
inspec/inspec-aws,POL62,NONE
inspec/inspec-aws,POL87,NONE
inspec/inspec-aws,POL103,NONE
inspec/inspec-aws,POL104,NONE
zenml-io/mlops-stacks,POL94,NONE
anttiviljami/wordpress-heroku-docker-project,POL94,NONE
turbot/steampipe-plugin-aws,POL42,NONE
turbot/steampipe-plugin-aws,POL62,NONE
turbot/steampipe-plugin-aws,POL80,NONE
turbot/steampipe-plugin-aws,POL85,NONE
turbot/steampipe-plugin-aws,POL94,NONE
turbot/steampipe-plugin-aws,POL103,NONE
turbot/steampipe-plugin-aws,POL104,NONE
databricks/delta-live-tables-notebooks,POL94,NONE
aws-samples/terraform-eks-code,POL94,NONE
terraform-aws-modules/terraform-aws-apigateway-v2,POL103,CHECKOV
rust-lang/simpleinfra,POL62,NONE
rust-lang/simpleinfra,POL94,NONE
alphagov/govuk-infrastructure,POL94,NONE
facebookresearch/fbpcs,POL62,NONE
segment-boneyard/s3-dynamo-lambda,POL62,NONE
segment-boneyard/s3-dynamo-lambda,POL94,NONE
denoland/deno_registry2,POL62,NONE
denoland/deno_registry2,POL94,NONE
denoland/deno_registry2,POL103,BOTH
cerbo/aws-waf-security-automation,POL62,NONE
cerbo/aws-waf-security-automation,POL94,NONE
openfun/marsha,POL62,NONE
openfun/marsha,POL94,NONE
tapglue/snaas,POL94,NONE
cloud-gov/cg-provision,POL80,NONE
cloud-gov/cg-provision,POL85,NONE
cloud-gov/cg-provision,POL94,NONE
csanquer/gitlab-setup,POL94,NONE
slalompdx/terraform-aws-codecommit-cicd,POL94,NONE
lingrino/infra-personal,POL94,NONE
berislavlopac/plambdapi,POL62,NONE
berislavlopac/plambdapi,POL94,NONE
mattermost/mattermost-cloud-monitoring,POL42,CHECKOV
mattermost/mattermost-cloud-monitoring,POL94,NONE
basecamp/dumpsterfire-2020,POL62,NONE
gerhalt/mining-camp,POL94,NONE
pivotal/paving,POL94,NONE
assareh/tfc-agent,POL62,NONE
assareh/tfc-agent,POL94,NONE
johnbedeir/Devops-Tools-Documentation,POL94,NONE
somleng/somleng,POL94,NONE
arehmandev/Terraform-etcd,POL94,NONE
