Project Name,Policy ID,Evaluation
terraform-compliance/cli,POL18,NONE
philips-labs/terraform-aws-github-runner,POL19,NONE
fugue/regula,POL19,NONE
ine-labs/AWSGoat,POL18,NONE
ine-labs/AWSGoat,POL19,NONE
dan-v/awslambdaproxy,POL18,NONE
maddevsio/aws-eks-base,POL19,TFSEC
controlplaneio/simulator,POL18,NONE
antonputra/tutorials,POL18,NONE
shellphish/ictf-framework,POL18,NONE
asteris-llc/converge,POL18,NONE
compiler-explorer/infra,POL18,NONE
compiler-explorer/infra,POL19,NONE
avantoss/vault-infra,POL19,NONE
turbot/steampipe-plugin-aws,POL18,NONE
turbot/steampipe-plugin-aws,POL19,NONE
aws-samples/terraform-eks-code,POL19,NONE
rust-lang/simpleinfra,POL18,NONE
tapglue/snaas,POL18,NONE
tapglue/snaas,POL19,NONE
cloud-gov/cg-provision,POL18,NONE
csanquer/gitlab-setup,POL18,NONE
csanquer/gitlab-setup,POL19,NONE
PrefectHQ/prefect-recipes,POL19,BOTH
chef-boneyard/inspec-aws-old,POL18,NONE
mattermost/mattermost-cloud-monitoring,POL19,NONE
gerhalt/mining-camp,POL19,NONE
assareh/tfc-agent,POL18,NONE
vmware-tanzu/service-installer-for-vmware-tanzu,POL18,NONE
johnbedeir/Devops-Tools-Documentation,POL18,NONE
somleng/somleng,POL19,NONE
arehmandev/Terraform-etcd,POL19,NONE
knakayama/aws-terraform-playground,POL18,NONE
knakayama/aws-terraform-playground,POL19,NONE
AztecProtocol/Setup,POL18,NONE
uktrade/data-workspace,POL18,NONE
uktrade/data-workspace,POL19,NONE
Artemmkin/codedeploy-terraform,POL18,NONE
cednore/trilium,POL18,NONE
pytorch/test-infra,POL18,NONE
dfds/infrastructure-modules,POL18,NONE
f5devcentral/f5-k8s-demo,POL18,NONE
masterpointio/terraform-aws-ssm-agent,POL19,NONE
tkellen/infrastructure,POL18,NONE
JeanMertz/terraform-dcos,POL18,NONE
JeanMertz/terraform-dcos,POL19,NONE
