POLICY_ID,cloud_provider,service,check_name,check_description,Selected,Category,Code_Tfsec,Code_Checkov,,
POL01,aws,emr,enable-at-rest-encryption,Enable at-rest encryption for EMR clusters.,TRUE,Encryption at rest,AVD-AWS-0137,CKV_AWS_350,,
POL02,aws,emr,enable-in-transit-encryption,Enable in-transit encryption for EMR clusters.,TRUE,Encryption in transit,AVD-AWS-0138,CKV_AWS_351,,
POL03,aws,emr,enable-local-disk-encryption,Enable local-disk encryption for EMR clusters.,TRUE,Encryption at rest,AVD-AWS-0139,CKV_AWS_349,Not targeted by the study,
POL04,aws,iam,enforce-group-mfa,IAM groups should have MFA enforcement activated.,TRUE,Access policy,AVD-AWS-0123,-,,
POL05,aws,iam,no-policy-wildcards,IAM policy should avoid use of wildcards and instead apply the principle of least privilege,TRUE,Admin by default,AVD-AWS-0057,CKV_AWS_62,,
POL06,aws,iam,no-root-access-keys,The root user has complete access to all services and resources in an AWS account. AWS Access Keys provide programmatic access to a given account.,TRUE,Admin by default,AVD-AWS-0141,CKV_AWS_274,,
POL07,aws,kms,auto-rotate-keys,A KMS key is not configured to auto-rotate.,TRUE,Encryption at rest,AVD-AWS-0065,-,,
POL08,aws,neptune,enable-log-export,Neptune logs export should be enabled,TRUE,Logging/Monitoring,AVD-AWS-0075,CKV_AWS_361,Not Target by the Study,*
POL09,aws,neptune,enable-storage-encryption,Neptune storage must be encrypted at rest,TRUE,Encryption at rest,AVD-AWS-0076,CKV_AWS_44,,
POL10,aws,neptune,encryption-customer-key,Neptune encryption should use Customer Managed Keys,TRUE,Encryption at rest,AVD-AWS-0128,CKV_AWS_280,Not targeted by the study,
POL11,aws,ebs,enable-volume-encryption,EBS volumes must be encrypted,TRUE,Encryption at rest,AVD-AWS-0026,CKV_AWS_3,,
POL12,aws,ebs,encryption-customer-key,EBS volume encryption should use Customer Managed Keys,TRUE,Encryption at rest,AVD-AWS-0027,CKV_AWS_189,,
POL13,aws,redshift,encryption-customer-key,Redshift clusters should use at rest encryption,TRUE,Encryption at rest,AVD-AWS-0084,CKV_AWS_64,,
POL14,aws,redshift,use-vpc,Redshift cluster should be deployed into a specific VPC,TRUE,Access policy,AVD-AWS-0127,CKV_AWS_87,,*
POL15,aws,ec2,enable-at-rest-encryption,Instance with unencrypted block device.,TRUE,Encryption at rest,AVD-AWS-0131,CKV2_AWS_2,,
POL16,aws,ec2,enable-launch-config-at-rest-encryption,Launch configuration with unencrypted block device.,TRUE,Encryption at rest,AVD-AWS-0008,CKV_AWS_8,,
POL17,aws,ec2,enable-volume-encryption,EBS volumes must be encrypted,TRUE,Encryption at rest,AVD-AWS-0026,CKV_AWS_3,,
POL18,aws,ec2,enforce-http-token-imds,aws_instance should activate session tokens for Instance Metadata Service.,TRUE,Outdated feature,AVD-AWS-0028,CKV_AWS_79,,
