project_name,stars_passed,stars,forks,contributors,commits,commiters
kubermatic/kubeone,0.4492753623188406,1216,208,30,1535,69
Azure/terraform-azurerm-caf-enterprise-scale,0.5,446,320,30,453,32
Azure/terraform,0.58,407,528,30,262,2
aztfmod/terraform-azurerm-caf,0.5,379,506,30,4399,149
lynnlangit/learning-cloud,0.5,356,102,1,325,1
ned1313/terraform-tuesdays,0.6153846153846154,320,424,1,290,3
HoussemDellai/terraform-course,0.2631578947368421,205,730,1,175,1
Azure/Mission-Critical-Online,0.28125,248,68,10,523,13
Azure/avdaccelerator,0.9090909090909091,143,104,28,1347,35
microsoft/AzureTRE,0.59375,117,96,30,1411,48
ComputeCanada/magic_castle,0.5405405405405406,87,29,18,1384,23
Azure-Samples/media-services-video-indexer,0.5,82,64,22,192,28
hashicorp/hashicat-azure,0.5833333333333334,77,1990,7,120,11
confluentinc/terraform-provider-confluent,0.6666666666666666,78,37,17,722,16
sassoftware/viya4-iac-azure,0.9545454545454546,65,79,19,148,23
jakewalsh90/Terraform-Azure,0.632258064516129,61,97,1,437,2
hashicorp/terraform-azurerm-terraform-enterprise,0.9047619047619048,54,56,18,456,24
Azure/NoOpsAccelerator,0.9811320754716981,57,32,10,355,14
Azure/terraform-azurerm-loadbalancer,0.5,47,95,16,68,19
PaloAltoNetworks/terraform-azurerm-vmseries-modules,0.9787234042553191,42,50,19,395,27
40net-cloud/fortinet-azure-solutions,0.5,40,56,11,1839,15
CDCgov/prime-simplereport,0.6607142857142857,40,21,30,3624,52
mrsimonemms/gitpod-self-hosted,0.7272727272727273,56,4,2,93,2
microsoft/planetary-computer-hub,0.6190476190476191,37,12,5,149,5
databricks/terraform-databricks-examples,0.5180180180180181,42,24,7,102,6
MangoInstantMessenger/MangoMessengerAPI,0.03571428571428571,33,7,11,2344,22
asean-rssa/tf_azure_deployment,0.6078431372549019,29,17,2,181,3
DFE-Digital/apply-for-teacher-training,0.5,28,6,30,25595,92
Azure/terraform-azurerm-postgresql,0.5,28,46,15,117,17
hashicorp/vault-plugin-secrets-azure,0.5,24,17,24,101,24
equinor/radix-platform,0.5,23,2,22,2205,34
Azure/azure-data-labs-modules,0.7692307692307693,34,12,6,112,7
dfds/infrastructure-modules,0.7802197802197802,21,14,28,1331,32
