cloud_provider,service,check_name,check_description,Selected,Category,Code,
azure,monitor,capture-all-activities,Ensure log profile captures all activities,TRUE,Logging/Monitoring,AVD-AZU-0033,
azure,network,disable-rdp-from-internet,"RDP access should not be accessible from the Internet, should be blocked on port 3389",TRUE,Access policy,AVD-AZU-0048,
azure,network,no-public-egress,An outbound network security rule allows traffic to /0.,TRUE,IP Address binding,AVD-AZU-0051,
azure,network,no-public-ingress,An inbound network security rule allows traffic from /0.,TRUE,IP Address binding,AVD-AZU-0047,
azure,network,ssh-blocked-from-internet,"SSH access should not be accessible from the Internet, should be blocked on port 22",TRUE,IP Address binding,AVD-AZU-0050,
azure,datafactory,no-public-access,"Data Factory should have public access disabled, the default is enabled.",TRUE,Access policy,AVD-AZU-0035,
azure,storage,enforce-https,Storage accounts should be configured to only accept transfers that are over secure connections,TRUE,Encryption in transit,AVD-AZU-0008,
azure,storage,no-public-access,Storage containers in blob storage mode should not have public access,TRUE,Access policy,AVD-AZU-0007,
azure,storage,queue-services-logging-enabled,"When using Queue Services for a storage account, logging should be enabled.",TRUE,Logging/Monitoring,AVD-AZU-0009,
azure,storage,use-secure-tls-policy,The minimum TLS version for Storage Accounts should be TLS1_2,TRUE,Encryption in transit,AVD-AZU-0011,
azure,authorization,limit-role-actions,Roles limited to the required actions,TRUE,Admin by default,AVD-AZU-0030,
azure,keyvault,specify-network-acl,Key vault should have the network acl block specified,TRUE,Access policy,AVD-AZU-0013,
azure,container,configured-network-policy,Ensure AKS cluster has Network Policy configured,TRUE,Access policy,AVD-AZU-0043,
azure,container,limit-authorized-ips,Ensure AKS has an API Server Authorized IP Ranges enabled,TRUE,IP Address binding,AVD-AZU-0041,
azure,container,logging,Ensure AKS logging to Azure Monitoring is Configured,TRUE,Logging/Monitoring,AVD-AZU-0040,
azure,container,use-rbac-permissions,Ensure RBAC is enabled on AKS clusters,TRUE,Access policy,AVD-AZU-0042,
azure,appservice,account-identity-registered,Web App has registration with AD enabled,TRUE,Access policy,AVD-AZU-0002,
azure,appservice,authentication-enabled,App Service authentication is activated,TRUE,Access policy,AVD-AZU-0003,
azure,appservice,enable-http2,Web App uses the latest HTTP version,TRUE,Outdated feature,AVD-AZU-0005,
azure,appservice,enforce-https,Ensure the Function App can only be accessed via HTTPS. The default is false.,TRUE,Encryption in transit,AVD-AZU-0004,
azure,appservice,require-client-cert,Web App accepts incoming client certificate,TRUE,Encryption in transit,AVD-AZU-0001,
azure,appservice,use-secure-tls-policy,Web App uses latest TLS version,TRUE,Encryption in transit,AVD-AZU-0006,
azure,compute,disable-password-authentication,Password authentication should be disabled on Azure virtual machines,TRUE,Access policy,AVD-AZU-0039,
azure,compute,enable-disk-encryption,Enable disk encryption on managed disk,TRUE,Encryption at rest,AVD-AZU-0038,
azure,compute,no-secrets-in-custom-data,Ensure that no sensitive credentials are exposed in VM custom_data,TRUE,Hard-coded secret,AVD-AZU-0037,
azure,datalake,enable-at-rest-encryption,Unencrypted data lake storage.,TRUE,Encryption at rest,AVD-AZU-0036,
azure,database,all-threat-alerts-enabled,No threat detections are set,TRUE,Logging/Monitoring,AVD-AZU-0028,
azure,database,enable-audit,Auditing should be enabled on Azure SQL Databases,TRUE,Logging/Monitoring,AVD-AZU-0027,
azure,database,enable-ssl-enforcement,SSL should be enforced on database connections where applicable,TRUE,Encryption in transit,AVD-AZU-0020,
azure,database,no-public-access,Ensure databases are not publicly accessible,TRUE,Access policy,AVD-AZU-0022,
azure,database,no-public-firewall-access,Ensure database firewalls do not permit public access,TRUE,Access policy,AVD-AZU-0029,
azure,database,postgres-configuration-log-checkpoints,Ensure server parameter 'log_checkpoints' is set to 'ON' for PostgreSQL Database Server,TRUE,Logging/Monitoring,AVD-AZU-0024,
azure,database,postgres-configuration-log-connections,Ensure server parameter 'log_connections' is set to 'ON' for PostgreSQL Database Server,TRUE,Logging/Monitoring,AVD-AZU-0019,
azure,database,secure-tls-policy,Databases should have the minimum TLS set for connections,TRUE,Encryption in transit,AVD-AZU-0026,
