Project Name,Policy ID,Evaluation
kubermatic/kubeone,POL25,BOTH
Azure/terraform,POL25,BOTH
lynnlangit/learning-cloud,POL25,BOTH
ned1313/terraform-tuesdays,POL25,BOTH
PaloAltoNetworks/terraform-azurerm-vmseries-modules,POL25,BOTH
databricks/terraform-databricks-examples,POL25,BOTH
asean-rssa/tf_azure_deployment,POL25,BOTH
Azure/azure-data-labs-modules,POL25,BOTH
pekalam/auctionhouse,POL25,BOTH
prancer-io/prancer-terramerra,POL25,BOTH
jmvigueras/playground,POL25,BOTH
Sumit016/Cloud_Tasks,POL25,BOTH
bobbyabuchi/devops,POL25,BOTH
