Project Name,Policy ID,Evaluation
kubermatic/kubeone,POL25,BOTH
Azure/terraform,POL08,BOTH
Azure/terraform,POL19,NONE
Azure/terraform,POL22,BOTH
Azure/terraform,POL24,BOTH
Azure/terraform,POL25,BOTH
lynnlangit/learning-cloud,POL08,BOTH
lynnlangit/learning-cloud,POL10,NONE
lynnlangit/learning-cloud,POL25,BOTH
ned1313/terraform-tuesdays,POL25,BOTH
ned1313/terraform-tuesdays,POL32,CHECKOV
HoussemDellai/terraform-course,POL08,CHECKOV
HoussemDellai/terraform-course,POL10,NONE
HoussemDellai/terraform-course,POL15,NONE
HoussemDellai/terraform-course,POL19,NONE
HoussemDellai/terraform-course,POL22,BOTH
HoussemDellai/terraform-course,POL24,NONE
microsoft/AzureTRE,POL10,NONE
sassoftware/viya4-iac-azure,POL15,CHECKOV
sassoftware/viya4-iac-azure,POL24,BOTH
jakewalsh90/Terraform-Azure,POL24,BOTH
hashicorp/terraform-azurerm-terraform-enterprise,POL08,BOTH
hashicorp/terraform-azurerm-terraform-enterprise,POL10,NONE
Azure/NoOpsAccelerator,POL24,BOTH
PaloAltoNetworks/terraform-azurerm-vmseries-modules,POL10,BOTH
PaloAltoNetworks/terraform-azurerm-vmseries-modules,POL24,BOTH
PaloAltoNetworks/terraform-azurerm-vmseries-modules,POL25,BOTH
CDCgov/prime-simplereport,POL08,BOTH
CDCgov/prime-simplereport,POL10,BOTH
mrsimonemms/gitpod-self-hosted,POL32,CHECKOV
microsoft/planetary-computer-hub,POL10,NONE
microsoft/planetary-computer-hub,POL15,BOTH
databricks/terraform-databricks-examples,POL08,CHECKOV
databricks/terraform-databricks-examples,POL10,NONE
databricks/terraform-databricks-examples,POL24,BOTH
databricks/terraform-databricks-examples,POL25,BOTH
MangoInstantMessenger/MangoMessengerAPI,POL08,CHECKOV
MangoInstantMessenger/MangoMessengerAPI,POL10,NONE
asean-rssa/tf_azure_deployment,POL08,CHECKOV
asean-rssa/tf_azure_deployment,POL10,NONE
asean-rssa/tf_azure_deployment,POL25,BOTH
Azure/azure-data-labs-modules,POL10,BOTH
Azure/azure-data-labs-modules,POL15,NONE
Azure/azure-data-labs-modules,POL25,BOTH
adamrushuk/devops-lab,POL08,BOTH
adamrushuk/devops-lab,POL10,BOTH
Pwd9000-ML/Azure-Terraform-Deployments,POL10,TFSEC
Azure-Samples/container-apps-azapi-terraform,POL10,NONE
recognizegroup/terraform,POL08,BOTH
geekzter/azure-pipeline-agents,POL10,NONE
echo-webkom/echo-web,POL10,NONE
PacktPublishing/Terraform-Cookbook-Second-Edition,POL19,NONE
PacktPublishing/Terraform-Cookbook-Second-Edition,POL22,BOTH
MontiCore/montithings,POL10,NONE
Azure/aks-baseline-windows,POL15,BOTH
Azure/aks-app-routing-operator,POL15,NONE
brave/security-action,POL24,NONE
dirien/quick-bites,POL08,CHECKOV
dirien/quick-bites,POL10,NONE
Anthony-Nolan/Atlas,POL08,BOTH
Anthony-Nolan/Atlas,POL10,NONE
kashw2/Fleet-of-the-Faithful-Knights,POL08,BOTH
kashw2/Fleet-of-the-Faithful-Knights,POL10,BOTH
kashw2/Fleet-of-the-Faithful-Knights,POL19,BOTH
kashw2/Fleet-of-the-Faithful-Knights,POL22,BOTH
pekalam/auctionhouse,POL10,NONE
pekalam/auctionhouse,POL25,BOTH
briandenicola/kubernetes,POL10,NONE
briandenicola/kubernetes,POL15,BOTH
pagopa/cstar-infrastructure,POL10,BOTH
prancer-io/prancer-terramerra,POL08,BOTH
prancer-io/prancer-terramerra,POL15,TFSEC
prancer-io/prancer-terramerra,POL19,NONE
prancer-io/prancer-terramerra,POL20,NONE
prancer-io/prancer-terramerra,POL22,TFSEC
prancer-io/prancer-terramerra,POL24,BOTH
prancer-io/prancer-terramerra,POL25,BOTH
jakewalsh90/Terraform-Modules-Azure,POL24,BOTH
identiq-protocol/edge-infrastructure,POL32,CHECKOV
identiq-protocol/edge-infrastructure,POL34,CHECKOV
identiq-protocol/edge-infrastructure,POL35,CHECKOV
JFolberth/Azure_IaC_Flavors,POL10,NONE
CDCgov/phdi-azure,POL08,BOTH
CDCgov/phdi-azure,POL10,NONE
gogorichie/tf-playground,POL08,BOTH
gogorichie/tf-playground,POL10,NONE
gogorichie/tf-playground,POL19,NONE
gogorichie/tf-playground,POL22,BOTH
mattiasholm/code,POL08,BOTH
mattiasholm/code,POL10,BOTH
pavanjava/terraform-tutorial,POL08,BOTH
pavanjava/terraform-tutorial,POL10,NONE
jmvigueras/playground,POL10,BOTH
jmvigueras/playground,POL25,BOTH
LefeWare-Solutions/Azure-MasterIaCTemplates,POL28,NONE
sourcegraph/tf-k8s-configs,POL15,NONE
pagopa/terraform-azurerm-v3,POL10,BOTH
pagopa/terraform-azurerm-v3,POL19,BOTH
pagopa/terraform-azurerm-v3,POL20,BOTH
pagopa/terraform-azurerm-v3,POL22,BOTH
pagopa/terraform-azurerm-v3,POL32,BOTH
pagopa/terraform-azurerm-v3,POL34,BOTH
pagopa/terraform-azurerm-v3,POL35,BOTH
oaviles/hello_iac,POL10,NONE
oaviles/hello_iac,POL15,NONE
briandenicola/codespaces-developer-demo,POL15,BOTH
equinor/radix-terraform-azurerm-aks,POL15,NONE
DFE-Digital/get-an-identity,POL08,BOTH
DFE-Digital/get-an-identity,POL10,BOTH
boxboat/speedboat-terragrunt,POL15,NONE
geekzter/azure-pipelines-container-agent,POL10,NONE
paulveillard/cybersecurity-secrets-management,POL10,NONE
lacework/terraform-azure-activity-log,POL10,NONE
joaovictorino/terraform-docker-spring,POL32,CHECKOV
DevOps-Team-Ca/CI-CD-Team-Project-Jenkins-Azure-Pipeline-GithubActions,POL19,NONE
DevOps-Team-Ca/CI-CD-Team-Project-Jenkins-Azure-Pipeline-GithubActions,POL22,BOTH
equinor/terraform-azurerm-sql,POL08,BOTH
equinor/terraform-azurerm-sql,POL10,BOTH
sap-linuxlab/terraform.modules_for_sap,POL24,BOTH
zakarel/Azure-terraform-templates,POL10,NONE
LOLRedPanda/app-core,POL10,NONE
tjsullivan1/tjs-scripts,POL10,NONE
tuananh281/devops-project,POL10,NONE
FrenchBarbusCorp/Workshop-Azure-Container-Apps,POL10,NONE
leancodepl/terraform-kubernetes-cluster,POL15,NONE
Sumit016/Cloud_Tasks,POL25,BOTH
bobbyabuchi/devops,POL25,BOTH
