POLICY_ID,cloud_provider,service,check_name,check_description,Selected,Category,Code_Tfsec,Code_Checkov,,
POL01,azure,monitor,capture-all-activities,Ensure log profile captures all activities,TRUE,Logging/Monitoring,AVD-AZU-0033,CKV_AZURE_38,Not targeted by our study,
POL02,azure,network,disable-rdp-from-internet,"RDP access should not be accessible from the Internet, should be blocked on port 3389",TRUE,Access policy,AVD-AZU-0048,CKV_AZURE_9,,
POL03,azure,network,no-public-egress,An outbound network security rule allows traffic to /0.,TRUE,IP Address binding,AVD-AZU-0051,,,
POL04,azure,network,no-public-ingress,An inbound network security rule allows traffic from /0.,TRUE,IP Address binding,AVD-AZU-0047,,,
POL05,azure,network,ssh-blocked-from-internet,"SSH access should not be accessible from the Internet, should be blocked on port 22",TRUE,IP Address binding,AVD-AZU-0050,CKV_AZURE_10,,
POL06,azure,datafactory,no-public-access,"Data Factory should have public access disabled, the default is enabled.",TRUE,Access policy,AVD-AZU-0035,CKV_AZURE_104,,
POL07,azure,storage,enforce-https,Storage accounts should be configured to only accept transfers that are over secure connections,TRUE,Encryption in transit,AVD-AZU-0008,CKV2_AZURE_33,Not targeted by our study,
POL08,azure,storage,no-public-access,Storage containers in blob storage mode should not have public access,TRUE,Access policy,AVD-AZU-0007,CKV2_AZURE_8,,
POL09,azure,storage,queue-services-logging-enabled,"When using Queue Services for a storage account, logging should be enabled.",TRUE,Logging/Monitoring,AVD-AZU-0009,CKV_AZURE_33,,
POL10,azure,storage,use-secure-tls-policy,The minimum TLS version for Storage Accounts should be TLS1_2,TRUE,Encryption in transit,AVD-AZU-0011,CKV_AZURE_44,,
POL11,azure,authorization,limit-role-actions,Roles limited to the required actions,TRUE,Admin by default,AVD-AZU-0030,CKV_AZURE_39,Not targeted by our study,
POL12,azure,keyvault,specify-network-acl,Key vault should have the network acl block specified,TRUE,Access policy,AVD-AZU-0013,CKV_AZURE_189,,
POL13,azure,container,configured-network-policy,Ensure AKS cluster has Network Policy configured,TRUE,Access policy,AVD-AZU-0043,CKV_AZURE_7,Not targeted by our study,
POL14,azure,container,limit-authorized-ips,Ensure AKS has an API Server Authorized IP Ranges enabled,TRUE,IP Address binding,AVD-AZU-0041,CKV_AZURE_6,Not targeted by our study,
POL15,azure,container,logging,Ensure AKS logging to Azure Monitoring is Configured,TRUE,Logging/Monitoring,AVD-AZU-0040,CKV_AZURE_4,,
POL16,azure,container,use-rbac-permissions,Ensure RBAC is enabled on AKS clusters,TRUE,Access policy,AVD-AZU-0042,CKV_AZURE_5,,
