Id,Type,Entity,Policy,IaC,Selected,Category
43,CKV_AWS_1,data,aws_iam_policy_document,"Ensure IAM policies that allow full ""-"" administrative privileges are not created",TRUE,Admin by default
44,CKV_AWS_2,resource,aws_alb_listener,Ensure ALB protocol is HTTPS,TRUE,Encryption in transit
46,CKV_AWS_3,resource,aws_ebs_volume,Ensure all data stored in the EBS is securely encrypted,TRUE,Encryption at rest
47,CKV_AWS_5,resource,aws_elasticsearch_domain,Ensure all data stored in the Elasticsearch is securely encrypted at rest,TRUE,Encryption at rest
49,CKV_AWS_6,resource,aws_elasticsearch_domain,Ensure all Elasticsearch has node-to-node encryption enabled,TRUE,Encryption in transit
52,CKV_AWS_8,resource,aws_instance,Ensure all data stored in the Launch configuration or instance Elastic Blocks Store is securely encrypted,TRUE,Encryption at rest
61,CKV_AWS_16,resource,aws_db_instance,Ensure all data stored in the RDS is securely encrypted at rest,TRUE,Encryption at rest
62,CKV_AWS_17,resource,aws_db_instance,Ensure all data stored in RDS is not publicly accessible,TRUE,Access policy
64,CKV_AWS_18,resource,aws_s3_bucket,Ensure the S3 bucket has access logging enabled,TRUE,Logging/Monitoring
65,CKV_AWS_19,resource,aws_s3_bucket,Ensure all data stored in the S3 bucket is securely encrypted at rest,TRUE,Encryption at rest
67,CKV_AWS_20,resource,aws_s3_bucket,S3 Bucket has an ACL defined which allows public READ access.,TRUE,Access policy
71,CKV_AWS_22,resource,aws_sagemaker_notebook_instance,Ensure SageMaker Notebook is encrypted at rest using KMS CMK,TRUE,Encryption at rest
77,CKV_AWS_24,resource,aws_security_group,Ensure no security groups allow ingress from 0.0.0.0:0 to port 22,TRUE,IP Address binding
79,CKV_AWS_25,resource,aws_security_group,Ensure no security groups allow ingress from 0.0.0.0:0 to port 3389,TRUE,IP Address binding
81,CKV_AWS_26,resource,aws_sns_topic,Ensure all data stored in the SNS topic is encrypted,TRUE,Encryption at rest
82,CKV_AWS_27,resource,aws_sqs_queue,Ensure all data stored in the SQS queue is encrypted,TRUE,Encryption at rest
84,CKV_AWS_29,resource,aws_elasticache_replication_group,Ensure all data stored in the Elasticache Replication Group is securely encrypted at rest,TRUE,Encryption at rest
