file,project,Category,POLID,TOOL,CLOUD,EVALUATION,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,anttiviljami/wordpress-heroku-docker-project,IP Address binding,POL23,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,seiji/terraform-aws-modules,Access policy,POL92,CHECKOV,AWS,TRUE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,openfun/marsha,IP Address binding,POL76,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,podhmo/individual-sandbox,Admin by default,POL05,CHECKOV,AWS,FALSE POSITIVE,*
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,inspec/inspec-aws,Encryption in transit,POL43,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/ElasticsearchNodeToNodeEncryption.py#L25C13-L25C27
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,aneoconsulting/ArmoniK.Infra,IP Address binding,POL23,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,rackspace-infrastructure-automation/aws-terraform-s3,Access policy,POL98,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,cds-snc/forms-terraform,Logging/Monitoring,POL62,CHECKOV,AWS,FALSE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/LambdaXrayEnabled.py#L20
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,alphagov/govwifi-terraform,Encryption in transit,POL43,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/ElasticsearchNodeToNodeEncryption.py#L37
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,bootcamp-team2022/angular-frontend,Access policy,POL92,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/S3BlockPublicPolicy.py#L14C17-L14C36
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,lazam/terraform-ansible,IP Address binding,POL76,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,Miyurz/aws-k8s,IP Address binding,POL76,CHECKOV,AWS,FALSE POSITIVE,
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,snyk/policy-engine,Access policy,POL96,CHECKOV,AWS,TRUE POSITIVE,https://github.com/bridgecrewio/checkov/blob/4a92ec2fa9ab8b927aaf2741b0a115c579b6b094/checkov/terraform/checks/resource/aws/S3IgnorePublicACLs.py#L14
/home/leuson/Documents/postdoctoral/security policies/new-scripts/master-terraform-sec-adoption/aws/csv/distribution_by_coverage_aws.csv,tkellen/infrastructure,IP Address binding,POL76,CHECKOV,AWS,FALSE POSITIVE,
