cloud_provider,service,check_name,check_description,Selected,Category,Code_Tfsec,Code_Checkov
aws,emr,enable-at-rest-encryption,Enable at-rest encryption for EMR clusters.,TRUE,Encryption at rest,AVD-AWS-0137,CKV_AWS_350
aws,emr,enable-in-transit-encryption,Enable in-transit encryption for EMR clusters.,TRUE,Encryption in transit,AVD-AWS-0138,CKV_AWS_351
aws,emr,enable-local-disk-encryption,Enable local-disk encryption for EMR clusters.,TRUE,Encryption at rest,AVD-AWS-0139,CKV_AWS_349
aws,iam,enforce-group-mfa,IAM groups should have MFA enforcement activated.,TRUE,Access policy,AVD-AWS-0123,-
aws,iam,no-policy-wildcards,IAM policy should avoid use of wildcards and instead apply the principle of least privilege,TRUE,Admin by default,AVD-AWS-0057,CKV_AWS_62
aws,iam,no-root-access-keys,The root user has complete access to all services and resources in an AWS account. AWS Access Keys provide programmatic access to a given account.,TRUE,Admin by default,AVD-AWS-0141,CKV_AWS_274
aws,kms,auto-rotate-keys,A KMS key is not configured to auto-rotate.,TRUE,Encryption at rest,AVD-AWS-0065,-
aws,neptune,enable-log-export,Neptune logs export should be enabled,TRUE,Logging/Monitoring,AVD-AWS-0075,CKV_AWS_361
aws,neptune,enable-storage-encryption,Neptune storage must be encrypted at rest,TRUE,Encryption at rest,AVD-AWS-0076,CKV_AWS_44
aws,neptune,encryption-customer-key,Neptune encryption should use Customer Managed Keys,TRUE,Encryption at rest,AVD-AWS-0128,CKV_AWS_280
aws,ebs,enable-volume-encryption,EBS volumes must be encrypted,TRUE,Encryption at rest,AVD-AWS-0026,CKV_AWS_3
aws,ebs,encryption-customer-key,EBS volume encryption should use Customer Managed Keys,TRUE,Encryption at rest,AVD-AWS-0027,CKV_AWS_189
aws,redshift,encryption-customer-key,Redshift clusters should use at rest encryption,TRUE,Encryption at rest,AVD-AWS-0084,CKV_AWS_64
aws,redshift,use-vpc,Redshift cluster should be deployed into a specific VPC,TRUE,Access policy,AVD-AWS-0127,CKV_AWS_87
aws,ec2,enable-at-rest-encryption,Instance with unencrypted block device.,TRUE,Encryption at rest,AVD-AWS-0131,CKV2_AWS_2
aws,ec2,enable-launch-config-at-rest-encryption,Launch configuration with unencrypted block device.,TRUE,Encryption at rest,AVD-AWS-0008,CKV_AWS_8
aws,ec2,enable-volume-encryption,EBS volumes must be encrypted,TRUE,Encryption at rest,AVD-AWS-0026,CKV_AWS_3
aws,ec2,enforce-http-token-imds,aws_instance should activate session tokens for Instance Metadata Service.,TRUE,Outdated feature,AVD-AWS-0028,CKV_AWS_79
aws,ec2,enforce-launch-config-http-token-imds,aws_instance should activate session tokens for Instance Metadata Service.,TRUE,Outdated feature,AVD-AWS-0130,CKV_AWS_79
aws,ec2,no-excessive-port-access,An ingress Network ACL rule allows ALL ports.,TRUE,IP Address binding,AVD-AWS-0102,CKV_AWS_352
aws,ec2,no-public-egress-sgr,An egress security group rule allows traffic to /0.,TRUE,IP Address binding,AVD-AWS-0104,-
aws,ec2,no-public-ingress-acl,An ingress Network ACL rule allows specific ports from /0.,TRUE,IP Address binding,AVD-AWS-0105,CKV2_AWS_1
aws,ec2,no-public-ingress-sgr,An ingress security group rule allows traffic from /0.,TRUE,IP Address binding,AVD-AWS-0107,CKV_AWS_260
aws,ec2,no-public-ip,Launch configuration should not have a public IP address.,TRUE,IP Address binding,AVD-AWS-0009,CKV_AWS_88
aws,ec2,no-public-ip-subnet,Instances in a subnet should not receive a public IP address by default.,TRUE,IP Address binding,AVD-AWS-0164,CKV_AWS_130
aws,ec2,no-secrets-in-launch-template-user-data,User data for EC2 instances must not contain sensitive AWS keys,TRUE,Hard-coded secret,AVD-AWS-0129,CKV_AWS_46
aws,ec2,no-secrets-in-user-data,User data for EC2 instances must not contain sensitive AWS keys,TRUE,Hard-coded secret,AVD-AWS-0029,CKV_AWS_46
aws,ec2,no-sensitive-info,Ensure all data stored in the launch configuration EBS is securely encrypted,TRUE,Encryption at rest,AVD-AWS-0122,CKV_AWS_8
aws,ec2,volume-encryption-customer-key,EBS volume encryption should use Customer Managed Keys,TRUE,Encryption at rest,AVD-AWS-0027,CKV_AWS_189
aws,rds,enable-performance-insights,Enable Performance Insights to detect potential problems,TRUE,Logging/Monitoring,AVD-AWS-0133,CKV_AWS_353
aws,rds,enable-performance-insights-encryption,Encryption for RDS Performance Insights should be enabled.,TRUE,Logging/Monitoring,AVD-AWS-0078,CKV_AWS_354
aws,rds,encrypt-cluster-storage-data,There is no encryption specified or encryption is disabled on the RDS Cluster.,TRUE,Encryption at rest,AVD-AWS-0079,CKV_AWS_16
aws,rds,encrypt-instance-storage-data,RDS encryption has not been enabled at a DB Instance level.,TRUE,Encryption at rest,AVD-AWS-0080,-
aws,rds,no-public-db-access,A database resource is marked as publicly accessible.,TRUE,Access policy,AVD-AWS-0082,CKV_AWS_17
aws,efs,enable-at-rest-encryption,EFS Encryption has not been enabled,TRUE,Encryption at rest,AVD-AWS-0037,CKV_AWS_42
aws,eks,enable-control-plane-logging,EKS Clusters should have cluster control plane logging turned on,TRUE,Logging/Monitoring,AVD-AWS-0038,CKV_AWS_37
aws,eks,encrypt-secrets,EKS should have the encryption of secrets enabled,TRUE,Hard-coded secret,AVD-AWS-0039,CKV_AWS_58
aws,eks,no-public-cluster-access,EKS Clusters should have the public access disabled,TRUE,Access policy,AVD-AWS-0040,CKV_AWS_39
aws,eks,no-public-cluster-access-to-cidr,EKS cluster should not have open CIDR range for public access,TRUE,IP Address binding,AVD-AWS-0041,CKV_AWS_38
aws,codebuild,enable-encryption,CodeBuild Project artifacts encryption should not be disabled,TRUE,Encryption at rest,AVD-AWS-0018,CKV_AWS_78
aws,elastic-search,enable-domain-encryption,Elasticsearch domain isn't encrypted at rest.,TRUE,Encryption at rest,AVD-AWS-0048,CKV_AWS_5
aws,elastic-search,enable-domain-logging,Domain logging should be enabled for Elastic Search domains,TRUE,Logging/Monitoring,AVD-AWS-0042,CKV_AWS_84
aws,elastic-search,enable-in-transit-encryption,Elasticsearch domain uses plaintext traffic for node to node communication.,TRUE,Encryption in transit,AVD-AWS-0043,CKV_AWS_6
aws,elastic-search,enforce-https,Elasticsearch doesn't enforce HTTPS traffic.,TRUE,Encryption in transit,AVD-AWS-0046,CKV_AWS_83
aws,elastic-search,use-secure-tls-policy,Elasticsearch domain endpoint is using outdated TLS policy.,TRUE,Outdated feature,AVD-AWS-0126,CKV_AWS_228
aws,sqs,enable-queue-encryption,Unencrypted SQS queue.,TRUE,Encryption at rest,AVD-AWS-0096,CKV_AWS_27
