Repository Full Name,Repository Description,Star Count,Fork Count,Repository Licence,Main Language,Language Repartition
Farnaz-Ansari/TerraformPipelines,Multi-stage DevOps  pipelines for Terraform,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Infopoly-Limited/Azure-firewall,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
NiteshSngh/discover-dollar-case-study,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
zachchism/Cloud-Resume-Project,"My resume in Azure, following the Cloud Resume Challenge by Forrest Brazeal",0,0,NO LICENSE,HCL,"{'HCL': 47.44, 'CSS': 17.04, 'HTML': 16.85, 'JavaScript': 12.67, 'Python': 6.01}"
larryclaman/tf-databricks-singleton,,0,0,NO LICENSE,HCL,"{'HCL': 83.75, 'Shell': 15.8, 'Python': 0.44}"
rajivranjan89/CaseStudy,,0,0,NO LICENSE,HCL,"{'HCL': 92.91, 'PowerShell': 4.68, 'Python': 2.41}"
on2itsecurity/auxo-provider-azure,Automatically create protect-surfaces and add Azure resources to AUXO ,0,0,MIT License,Python,"{'Python': 71.83, 'HCL': 27.84, 'Shell': 0.34}"
YuliaKokorieva/sq-aci,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
konradkulagaAVAC/terraformTraining,,0,0,NO LICENSE,HCL,"{'HCL': 38.84, 'C#': 22.35, 'CSS': 20.0, 'HTML': 17.74, 'JavaScript': 1.07}"
praveen2391/dsspoc,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
princebillygk-jatri/portfolio-infrastructure,,1,0,NO LICENSE,HCL,"{'HCL': 96.02, 'Makefile': 3.98}"
sourcegraph/tf-k8s-configs,"Terraform configurations for provisioning bare bones Kubernetes clusters on GCP, AWS and Azure platforms.",2,0,NO LICENSE,HCL,{'HCL': 100.0}
Devops-Corfo-2022-seccion1-Grupo4/terraform_lab,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
mobindaraie/Getting-Started-with-Terraform,,0,0,NO LICENSE,HCL,"{'HCL': 91.82, 'PowerShell': 5.54, 'Shell': 2.64}"
rajesh-pandian-1988/iac-azure-resources,To learn deploying resources to Azure using GitHub Actions,0,0,NO LICENSE,PowerShell,"{'PowerShell': 47.99, 'HCL': 31.35, 'Bicep': 20.66}"
dirien/quick-bites,Quick Bites of different technologies,8,0,Apache License 2.0,Go,"{'Go': 50.13, 'TypeScript': 27.64, 'CUE': 9.32, 'Rust': 8.31, 'HCL': 3.56, 'Open Policy Agent': 1.04}"
KangDroid-File-Cloud/KDRFC-Terraform,Infrastructure Configuration(Code) for KDRFC Services,0,0,NO LICENSE,HCL,"{'HCL': 86.04, 'Smarty': 13.96}"
frasermolyneux/portal-sync,Part of XtremeIdiots Portal solution; data synchronization for game servers ban files and other external services. Deployed using Terraform and GitHub Actions.,0,0,GNU General Public License v3.0,C#,"{'C#': 83.46, 'HCL': 16.54}"
lahouely/orders_infrastructure,This repository hosts the terraform source code that will deploy the necessary infrastructure resources for the my orders project.,0,0,MIT License,HCL,"{'HCL': 81.6, 'Shell': 18.4}"
bmmateru/acme-demo,"""This is a demo presented to ACME. They goal is to show value for automation and utilizing terraform cloud as their main tool.",0,0,GNU General Public License v3.0,HCL,"{'HCL': 66.63, 'Shell': 33.37}"
SubbaYamarthi/sampleTerraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
castleking1810/infra-configuration,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
kashw2/Terraform-at-Scale,Various examples of Terraform being used to scale ,0,0,GNU General Public License v3.0,HCL,{'HCL': 100.0}
ongood/coder,,0,0,GNU Affero General Public License v3.0,Go,"{'Go': 70.34, 'TypeScript': 26.11, 'Shell': 1.74, 'Makefile': 0.41, 'Dockerfile': 0.35, 'PLpgSQL': 0.22, 'NSIS': 0.18, 'HTML': 0.15, 'Open Policy Agent': 0.14, 'HCL': 0.11, 'Smarty': 0.09, 'JavaScript': 0.09, 'Nix': 0.03, 'PowerShell': 0.02, 'Roff': 0.0}"
Nawodawi/Terraform-with-azure-devops-.net,,0,0,NO LICENSE,C#,"{'C#': 52.17, 'HCL': 34.98, 'Dockerfile': 12.85}"
AlessandroGracia27/Terraform_VM,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
tonyskidmore/terraform-azurerm-vmss,Terraform azurerm Virtual Machine Scale Set module,0,0,MIT License,HCL,"{'HCL': 91.12, 'Shell': 8.88}"
briteliteimmersive/azure-cloud-foundations,Devops scripts for cloud infrastructure,0,0,NO LICENSE,HCL,{'HCL': 100.0}
kikikrittamate/soft_arch_assignment8,,0,0,NO LICENSE,HCL,"{'HCL': 72.19, 'Shell': 27.81}"
ycetindil/Azure-Devops-Azure-VM-WordPress-Installed,,0,0,NO LICENSE,HCL,"{'HCL': 93.35, 'Shell': 4.84, 'Dockerfile': 1.81}"
Mariem-Louhichi/example-repo,description ,0,1,NO LICENSE,HCL,"{'HCL': 99.52, 'HTML': 0.48}"
ForgeRock/forgeops-extras,Terraform and other artifacts that can be used with the forgeops project,0,2,NO LICENSE,HCL,"{'HCL': 89.37, 'Shell': 8.44, 'Smarty': 1.28, 'Makefile': 0.91}"
mlkmhd/terraform-test,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Azure/FTALive-Sessions,This repository is a public-facing source of information for FastTrack for Azure Live sessions.,75,59,MIT License,Jupyter Notebook,"{'Jupyter Notebook': 62.97, 'Shell': 10.92, 'Bicep': 10.82, 'Python': 7.09, 'HCL': 3.69, 'PowerShell': 3.17, 'Go': 0.4, 'JavaScript': 0.39, 'C#': 0.31, 'HTML': 0.13, 'Dockerfile': 0.1}"
Azure/terraform-azurerm-loadbalancer,Terraform Azure RM Module for Load Balancer,46,97,MIT License,HCL,"{'HCL': 93.69, 'Go': 5.49, 'Makefile': 0.82}"
danibyay/telegram-bot-cicd,Telegram bot project with Kotlin and CI/CD pipeline,0,0,NO LICENSE,Kotlin,"{'Kotlin': 56.52, 'HCL': 38.85, 'Dockerfile': 4.63}"
ccweerasinghe1994/terraform-docs-study,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ParnThanatibordee/softarch-hw-assignment-8,,0,0,NO LICENSE,HCL,"{'HCL': 80.08, 'Shell': 19.92}"
echo-webkom/echo-web,Nettsiden til echo – Linjeforeningen for informatikk,14,2,GNU General Public License v3.0,TypeScript,"{'TypeScript': 68.12, 'Kotlin': 25.27, 'HCL': 3.64, 'JavaScript': 2.23, 'Shell': 0.47, 'Dockerfile': 0.19, 'HTML': 0.07, 'CSS': 0.01}"
CREPIC21/MyWebsite,,0,0,NO LICENSE,CSS,"{'CSS': 45.76, 'HTML': 30.31, 'HCL': 18.55, 'JavaScript': 5.17, 'Dockerfile': 0.21}"
hmcts/terraform-module-vnet-peering,terraform-module-vnet-peering,2,0,NO LICENSE,HCL,{'HCL': 100.0}
very-sad-doggo/Diploma_task,this repo contains all related diploma info including application ,0,0,NO LICENSE,HCL,"{'HCL': 70.06, 'Shell': 29.94}"
waeltken/tf-aks-multi-region,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
ronsha001/devtube-infrastructure,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
getindata/terraform-azurerm-keyvault-secret-data-source,Terraform module for reading secrets from Azure KeyVault,0,0,Apache License 2.0,HCL,{'HCL': 100.0}
moascode/azure-deploy-web-server,This repo contains Packer and Terraform scripts to deploy a web server in Azure,0,0,NO LICENSE,HCL,"{'HCL': 95.55, 'Shell': 4.45}"
Dieryson/azure,azure/terraform,0,0,NO LICENSE,HCL,{'HCL': 100.0}
eingaruca/00_Repo_code,Repositorio código,1,0,NO LICENSE,Python,"{'Python': 59.22, 'HCL': 26.55, 'Groovy': 14.22}"
davidomahony/kubernetes,Kubernetes Notes,0,0,NO LICENSE,HCL,{'HCL': 100.0}
sameed03/hub_and_spoke,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
albertodall/TerraformPlayground,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
piyushahuja/toy-terraform,,0,0,NO LICENSE,HCL,"{'HCL': 95.25, 'Shell': 4.75}"
germanium-git/tf_azure_subnet_with_nsg_udr,New Azure subnet with NSG & UDR assignment,0,0,NO LICENSE,HCL,{'HCL': 100.0}
hmcts/send-letter-service,,0,4,MIT License,Java,"{'Java': 92.5, 'HTML': 3.91, 'HCL': 2.97, 'Groovy': 0.5, 'Dockerfile': 0.11, 'Shell': 0.01}"
ruskle/EPAM-L1-DevOps-autumn2022,,0,0,NO LICENSE,C#,"{'C#': 42.52, 'HTML': 29.51, 'Shell': 13.76, 'HCL': 8.12, 'CSS': 5.04, 'JavaScript': 1.05}"
Ananyojha/terraform,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
JAY-DEV-OP/automationjenkins,build and deploy,0,0,NO LICENSE,HCL,{'HCL': 100.0}
equinor/radix-platform,Issue tracking and feature requests for Omnia Radix,23,2,MIT License,Shell,"{'Shell': 92.32, 'HCL': 5.33, 'HTML': 2.03, 'PowerShell': 0.16, 'TSQL': 0.16}"
kavish-p/udacity-azure-devops-project1,Deploying a Web Server in Azure,0,0,NO LICENSE,HCL,"{'HCL': 97.62, 'Shell': 2.38}"
devgioele/fabriko,A GitHub Action for RBAC of geographic information systems using Mapbox,0,0,MIT License,TypeScript,"{'TypeScript': 68.82, 'Shell': 22.67, 'Python': 6.64, 'HCL': 1.87}"
kashw2/Fleet-of-the-Faithful-Knights,Monorepo for the Fleet of the Faithful Knights,7,0,GNU General Public License v3.0,TypeScript,"{'TypeScript': 85.99, 'HTML': 6.37, 'HCL': 5.68, 'SCSS': 1.86, 'Dockerfile': 0.11}"
kashw2/QuickStack,"A quick and easy to setup full stack solution built to enable success using Angular 14, TypeScript and Terraform",0,0,NO LICENSE,TypeScript,"{'TypeScript': 49.41, 'HCL': 22.28, 'HTML': 22.13, 'JavaScript': 3.03, 'SCSS': 2.38, 'Shell': 0.6, 'Dockerfile': 0.16}"
hemangi1992/azure-devops-kubernates-terraform-pipeline,,0,0,NO LICENSE,Java,"{'Java': 52.09, 'HCL': 45.64, 'Dockerfile': 2.27}"
nikita-akuity/tf-provider-example,Example of using `akuity/akp` terraform provider,1,0,NO LICENSE,HCL,"{'HCL': 96.9, 'Jsonnet': 3.1}"
zanileberkay/terraform-backend,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Guiih13/devops,,0,0,NO LICENSE,Java,"{'Java': 60.4, 'HCL': 34.16, 'Dockerfile': 3.08, 'Gherkin': 1.24, 'JavaScript': 0.68, 'Python': 0.44}"
mjmenger/terraform-f5xc-azure-base,,2,0,NO LICENSE,HCL,{'HCL': 100.0}
geranzig/diplo-mod7-lab2,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
grupo7-modulo7/modulo7-terraform,Tarea Modulo 7 - terraform,0,0,NO LICENSE,HCL,"{'HCL': 98.14, 'Shell': 1.86}"
BMeyn/sample_terraform_docs,,0,0,NO LICENSE,Shell,"{'Shell': 95.48, 'Dockerfile': 3.64, 'HCL': 0.88}"
ManpreetKaur1526/releaserepo26,,0,0,NO LICENSE,HCL,{'HCL': 100.0}
Azure/terraform,Source code for the Azure Marketplace Terraform development VM package.,377,496,MIT License,HCL,"{'HCL': 97.9, 'Shell': 2.1}"
freddieentity/kubernetes-blueprints,,0,0,NO LICENSE,HCL,"{'HCL': 88.81, 'Ruby': 6.63, 'Makefile': 2.63, 'Dockerfile': 1.82, 'Shell': 0.11}"
kvietmeier/Terraform,Terraform projects,2,0,Other,HCL,"{'HCL': 67.47, 'PowerShell': 31.73, 'Shell': 0.79}"
