Id,Type,Entity,Policy,IaC,Selected,Category
1065,CKV_AZURE_1,resource,azurerm_linux_virtual_machine,Ensure Azure Instance does not use basic authentication(Use SSH Key Instead),TRUE,Access policy
1074,CKV_AZURE_9,resource,azurerm_network_security_group,Ensure that RDP access is restricted from the internet,TRUE,Access policy
1076,CKV_AZURE_10,resource,azurerm_network_security_group,Ensure that SSH access is restricted from the internet,TRUE,Access policy
1120,CKV_AZURE_34,resource,azurerm_storage_container,Ensure that 'Public access level' is set to Private for blob containers,TRUE,Access policy
1135,CKV_AZURE_48,resource,azurerm_mariadb_server,Ensure 'public network access enabled' is set to 'False' for MariaDB servers,TRUE,Access policy
1136,CKV_AZURE_49,resource,azurerm_linux_virtual_machine_scale_set,Ensure Azure linux scale set does not use basic authentication(Use SSH Key Instead),TRUE,Access policy
1140,CKV_AZURE_53,resource,azurerm_mysql_server,Ensure 'public network access enabled' is set to 'False' for mySQL servers,TRUE,Access policy
1148,CKV_AZURE_59,resource,azurerm_storage_account,Ensure that Storage accounts disallow public access,TRUE,Access policy
1163,CKV_AZURE_68,resource,azurerm_postgresql_server,Ensure that PostgreSQL server disables public network access,TRUE,Access policy
1179,CKV_AZURE_77,resource,azurerm_network_security_group,Ensure that UDP Services are restricted from the Internet,TRUE,Access policy
1196,CKV_AZURE_89,resource,azurerm_redis_cache,Ensure that Azure Cache for Redis disables public network access,TRUE,Access policy
1210,CKV_AZURE_101,resource,azurerm_cosmosdb_account,Ensure that Azure Cosmos DB disables public network access,TRUE,Access policy
1213,CKV_AZURE_104,resource,azurerm_data_factory,Ensure that Azure Data factory public network access is disabled,TRUE,Access policy
1215,CKV_AZURE_106,resource,azurerm_eventgrid_domain,Ensure that Azure Event Grid Domain public network access is disabled,TRUE,Access policy
1217,CKV_AZURE_108,resource,azurerm_iothub,Ensure that Azure IoT Hub disables public network access,TRUE,Access policy
1222,CKV_AZURE_113,resource,azurerm_mssql_server,Ensure that SQL server disables public network access,TRUE,Access policy
1229,CKV_AZURE_120,resource,azurerm_application_gateway,Ensure that Application Gateway enables WAF,TRUE,Access policy
1231,CKV_AZURE_121,resource,azurerm_frontdoor,Ensure that Azure Front Door enables WAF,TRUE,Access policy
1234,CKV_AZURE_124,resource,azurerm_search_service,Ensure that Azure Cognitive Search disables public network access,TRUE,Access policy
1249,CKV_AZURE_139,resource,azurerm_container_registry,Ensure ACR set to disable public networking,TRUE,Access policy
1272,CKV_AZURE_160,resource,azurerm_network_security_group,Ensure that HTTP (port 80) access is restricted from the internet,TRUE,Access policy
1275,CKV_AZURE_162,resource,azurerm_spring_cloud_api_portal,Ensures Spring Cloud API Portal Public Access Is Disabled,TRUE,Access policy
1324,CKV_AZURE_204,resource,azurerm_servicebus_namespace,Ensure 'public network access enabled' is set to 'False' for Azure Service Bus,TRUE,Access policy
1353,CKV2_AZURE_6,resource,azurerm_sql_firewall_rule,Ensure 'Allow access to Azure services' for PostgreSQL Database Server is disabled,TRUE,Access policy
1356,CKV2_AZURE_8,resource,azurerm_monitor_activity_log_alert,Ensure the storage container storing the activity logs is not publicly accessible,TRUE,Access policy
1247,CKV_AZURE_137,resource,azurerm_container_registry,Ensure ACR admin account is disabled,TRUE,Admin by default
1251,CKV_AZURE_141,resource,azurerm_kubernetes_cluster,Ensure AKS local admin account is disabled,TRUE,Admin by default
1067,CKV_AZURE_2,resource,azurerm_managed_disk,Ensure Azure managed disk has encryption enabled,TRUE,Encryption at rest
1172,CKV_AZURE_73,resource,azurerm_automation_variable_bool,Ensure that Automation account variables are encrypted,TRUE,Encryption at rest
1176,CKV_AZURE_74,resource,azurerm_kusto_cluster,Ensure that Azure Data Explorer (Kusto) uses disk encryption,TRUE,Encryption at rest
1200,CKV_AZURE_93,resource,azurerm_managed_disk,Ensure that managed disks use a specific set of disk encryption sets for the customer-managed key encryption,TRUE,Encryption at rest
1204,CKV_AZURE_96,resource,azurerm_mysql_server,Ensure that MySQL server enables infrastructure encryption,TRUE,Encryption at rest
1205,CKV_AZURE_97,resource,azurerm_linux_virtual_machine_scale_set,Ensure that Virtual machine scale sets have encryption at host enabled,TRUE,Encryption at rest
1214,CKV_AZURE_105,resource,azurerm_data_lake_store,Ensure that Data Lake Store accounts enables encryption,TRUE,Encryption at rest
1226,CKV_AZURE_117,resource,azurerm_kubernetes_cluster,Ensure that AKS uses disk encryption set,TRUE,Encryption at rest
1240,CKV_AZURE_130,resource,azurerm_postgresql_server,Ensure that PostgreSQL server enables infrastructure encryption,TRUE,Encryption at rest
1262,CKV_AZURE_151,resource,azurerm_windows_virtual_machine,Ensure Windows VM enables encryption,TRUE,Encryption at rest
1338,CKV2_AZURE_1,resource,azurerm_storage_account,Ensure storage for critical data are encrypted with Customer Managed Key,TRUE,Encryption at rest
1366,CKV2_AZURE_14,resource,azurerm_managed_disk,Ensure that Unattached disks are encrypted,TRUE,Encryption at rest
1368,CKV2_AZURE_15,resource,azurerm_data_factory,Ensure that Azure data factories are encrypted with a customer-managed key,TRUE,Encryption at rest
1369,CKV2_AZURE_16,resource,azurerm_mysql_server,Ensure that MySQL server enables customer-managed key for encryption,TRUE,Encryption at rest
1371,CKV2_AZURE_17,resource,azurerm_postgresql_server,Ensure that PostgreSQL server enables customer-managed key for encryption,TRUE,Encryption at rest
1373,CKV2_AZURE_18,resource,azurerm_storage_account,Ensure that Storage Accounts use customer-managed key for encryption,TRUE,Encryption at rest
1068,CKV_AZURE_3,resource,azurerm_storage_account,Ensure that 'enable_https_traffic_only' is enabled,TRUE,Encryption in transit
1086,CKV_AZURE_14,resource,azurerm_app_service,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service,TRUE,Encryption in transit
1114,CKV_AZURE_28,resource,azurerm_mysql_server,Ensure 'Enforce SSL connection' is set to 'ENABLED' for MySQL Database Server,TRUE,Encryption in transit
1115,CKV_AZURE_29,resource,azurerm_postgresql_server,Ensure 'Enforce SSL connection' is set to 'ENABLED' for PostgreSQL Database Server,TRUE,Encryption in transit
1134,CKV_AZURE_47,resource,azurerm_mariadb_server,Ensure 'Enforce SSL connection' is set to 'ENABLED' for MariaDB servers,TRUE,Encryption in transit
1165,CKV_AZURE_70,resource,azurerm_function_app,Ensure that Function apps is only accessible over HTTPS,TRUE,Encryption in transit
1264,CKV_AZURE_153,resource,azurerm_app_service_slot,Ensure web app redirects all HTTP traffic to HTTPS in Azure App Service Slot,TRUE,Encryption in transit
1274,CKV_AZURE_161,resource,azurerm_spring_cloud_api_portal,Ensures Spring Cloud API Portal is enabled on for HTTPS,TRUE,Encryption in transit
1293,CKV_AZURE_178,resource,azurerm_linux_virtual_machine,Ensure linux VM enables SSH with keys for secure communication,TRUE,Encryption in transit
1317,CKV_AZURE_197,resource,azurerm_cdn_endpoint,Ensure the Azure CDN disables the HTTP endpoint,TRUE,Encryption in transit
1318,CKV_AZURE_198,resource,azurerm_cdn_endpoint,Ensure the Azure CDN enables the HTTPS endpoint,TRUE,Encryption in transit
1133,CKV_AZURE_45,resource,azurerm_virtual_machine,Ensure that no sensitive credentials are exposed in VM custom_data,TRUE,Hard-coded secret
1078,CKV_AZURE_11,resource,azurerm_mariadb_firewall_rule,Ensure no SQL Databases allow ingress from 0.0.0.0/0 (ANY IP),TRUE,IP Address binding
1227,CKV_AZURE_118,resource,azurerm_network_interface,Ensure that Network Interfaces disable IP forwarding,TRUE,IP Address binding
1228,CKV_AZURE_119,resource,azurerm_network_interface,Ensure that Network Interfaces don't use public IPs,TRUE,IP Address binding
