Project Name,Policy ID,Evaluation
ine-labs/GCPGoat,POL41,NONE
input-output-hk/hydra,POL41,NONE
terraform-google-modules/terraform-docs-samples,POL41,NONE
sungchun12/airflow-toolkit,POL41,NONE
GoogleCloudPlatform/terraform-google-conversion,POL41,NONE
GoogleCloudPlatform/rad-lab,POL41,NONE
SygniaLabs/ScallOps,POL41,NONE
wynsen/gcp-enterprise,POL41,NONE
hashicorp/hashicat-gcp,POL41,NONE
HPInc/cloud_deployment_scripts,POL41,NONE
kiali/demos,POL41,NONE
sassoftware/viya4-iac-gcp,POL41,NONE
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,POL41,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL41,NONE
GoogleCloudPlatform/cloud-hackathons,POL41,NONE
GoogleCloudPlatform/terraform-google-load-balanced-vms,POL41,NONE
PaloAltoNetworks/terraform-google-vmseries-modules,POL41,NONE
GoogleCloudPlatform/terraform-sample-tools,POL41,NONE
cloud-computer/cloud-computer,POL41,NONE
GoogleCloudPlatform/solutions-istio-mesh-expansion-migration,POL41,NONE
GoogleCloudPlatform/solutions-geospatial-analytics,POL41,NONE
GoogleCloudPlatform/guacamole-on-gcp,POL41,NONE
sushil46in/terraform_modules,POL41,NONE
thecloudterminal01/learn-devops,POL41,NONE
liamstevens/gcp-pca-prep,POL41,NONE
HCA97/de-zoomcamp-project,POL41,NONE
genesys/multicloud-platform,POL41,NONE
shapleya/tf_gcp_iap_tunnel_ssh_demo,POL41,NONE
ericreeves/packer-terraform-demo,POL41,NONE
bacalhau-project/amplify,POL41,NONE
snsinfu/bit4,POL41,NONE
DDNStorage/exascaler-cloud-terraform,POL41,CHECKOV
memes/terraform-google-f5-bigip,POL41,NONE
gitrgoliveira/tfc-jit-demo,POL41,NONE
lacework-dev/detc-resources,POL41,NONE
Erfandarzi/medscale,POL41,NONE
limebrew-org/limebrew-infra,POL41,NONE
ubikasec/ubika-waap-extra,POL41,NONE
gfilicetti/gHacks,POL41,NONE
byronwhitlock-google/AutoML-Labeling-Tool,POL41,NONE
memes/f5-google-cloud-router-big-ip,POL41,NONE
luismendezescobar/myproy,POL41,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL41,NONE
os-autoinst/os-autoinst-distri-opensuse,POL41,NONE
secrethub/examples,POL41,NONE
