Project Name,Policy ID,Evaluation
terraform-google-modules/terraform-google-sql-db,POL28,NONE
terraform-google-modules/terraform-google-sql-db,POL29,NONE
terraform-google-modules/terraform-google-sql-db,POL30,NONE
terraform-google-modules/terraform-google-sql-db,POL31,TFSEC
terraform-google-modules/terraform-google-sql-db,POL32,NONE
googlecloudrobotics/core,POL14,BOTH
googlecloudrobotics/core,POL15,BOTH
terraform-google-modules/terraform-docs-samples,POL28,NONE
terraform-google-modules/terraform-docs-samples,POL30,NONE
terraform-google-modules/terraform-docs-samples,POL32,NONE
terraform-google-modules/terraform-docs-samples,POL37,NONE
praetorian-inc/trident,POL14,BOTH
praetorian-inc/trident,POL15,BOTH
praetorian-inc/trident,POL28,NONE
praetorian-inc/trident,POL29,NONE
praetorian-inc/trident,POL30,NONE
praetorian-inc/trident,POL31,TFSEC
praetorian-inc/trident,POL32,NONE
sungchun12/airflow-toolkit,POL37,NONE
interuss/dss,POL14,BOTH
interuss/dss,POL15,BOTH
ClimateImpactLab/downscaleCMIP6,POL14,BOTH
ClimateImpactLab/downscaleCMIP6,POL15,BOTH
ClimateImpactLab/downscaleCMIP6,POL28,NONE
ClimateImpactLab/downscaleCMIP6,POL29,NONE
ClimateImpactLab/downscaleCMIP6,POL30,NONE
ClimateImpactLab/downscaleCMIP6,POL31,TFSEC
ClimateImpactLab/downscaleCMIP6,POL32,NONE
ClimateImpactLab/downscaleCMIP6,POL37,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL14,BOTH
GoogleCloudPlatform/cloud-sql-proxy-operator,POL15,BOTH
GoogleCloudPlatform/cloud-sql-proxy-operator,POL28,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL29,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL30,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL31,TFSEC
GoogleCloudPlatform/cloud-sql-proxy-operator,POL32,NONE
GoogleCloudPlatform/cloud-sql-proxy-operator,POL37,NONE
2i2c-org/infrastructure,POL14,BOTH
2i2c-org/infrastructure,POL15,BOTH
google/llvm-premerge-checks,POL14,BOTH
google/llvm-premerge-checks,POL15,BOTH
google/llvm-premerge-checks,POL37,NONE
jenkins-x/terraform-google-jx,POL14,BOTH
jenkins-x/terraform-google-jx,POL15,BOTH
databricks/terraform-databricks-lakehouse-blueprints,POL37,NONE
llvm/llvm-zorg,POL14,BOTH
llvm/llvm-zorg,POL15,BOTH
wynsen/gcp-enterprise,POL14,BOTH
wynsen/gcp-enterprise,POL15,BOTH
wynsen/gcp-enterprise,POL37,NONE
pluralsh/plural-artifacts,POL37,NONE
eclipsesource/theia-cloud,POL14,BOTH
eclipsesource/theia-cloud,POL15,BOTH
rodalbuyeh/pyspark-k8s-boilerplate,POL14,BOTH
rodalbuyeh/pyspark-k8s-boilerplate,POL15,BOTH
hashicorp/hashicat-gcp,POL37,NONE
google/privacy-sandbox-aggregation-service,POL14,BOTH
google/privacy-sandbox-aggregation-service,POL15,BOTH
google/privacy-sandbox-aggregation-service,POL37,NONE
GoogleCloudPlatform/monolith-to-microservices-example,POL14,BOTH
GoogleCloudPlatform/monolith-to-microservices-example,POL15,BOTH
GoogleCloudPlatform/monolith-to-microservices-example,POL37,NONE
hashicorp/cluster-api-provider-terraform-cloud,POL14,BOTH
hashicorp/cluster-api-provider-terraform-cloud,POL15,BOTH
HPInc/cloud_deployment_scripts,POL37,NONE
kiali/demos,POL14,BOTH
kiali/demos,POL15,BOTH
kiali/demos,POL37,NONE
datacommonsorg/website,POL14,BOTH
datacommonsorg/website,POL15,BOTH
WhatsApp/whatsapp-business-api-deployment-templates,POL14,BOTH
WhatsApp/whatsapp-business-api-deployment-templates,POL15,BOTH
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,POL37,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL28,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL29,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL30,NONE
saeed349/Quant-Trading-Cloud-Infrastructure,POL31,TFSEC
saeed349/Quant-Trading-Cloud-Infrastructure,POL32,NONE
google/iap-compute-engine-demo,POL37,NONE
starburstdata/starburst-terraform,POL14,BOTH
starburstdata/starburst-terraform,POL15,BOTH
GoogleCloudPlatform/cloud-hackathons,POL37,NONE
anitechcs/microservices-reference-application,POL14,BOTH
anitechcs/microservices-reference-application,POL15,BOTH
anitechcs/microservices-reference-application,POL37,NONE
PaloAltoNetworks/terraform-google-vmseries-modules,POL37,NONE
Silectis/multi-cloud-vpn,POL37,NONE
cloudspannerecosystem/spanner-gaming-sample,POL14,BOTH
cloudspannerecosystem/spanner-gaming-sample,POL15,BOTH
cloudspannerecosystem/spanner-gaming-sample,POL37,NONE
GoogleCloudPlatform/terraform-sample-tools,POL37,NONE
cloud-computer/cloud-computer,POL37,NONE
GoogleCloudPlatform/solutions-istio-mesh-expansion-migration,POL37,NONE
cldcvr/gcifi-lz,POL14,BOTH
cldcvr/gcifi-lz,POL15,BOTH
GoogleCloudPlatform/gke-securing-third-party-apps-blueprint,POL37,NONE
wandb/terraform-google-wandb,POL14,BOTH
wandb/terraform-google-wandb,POL15,BOTH
wandb/terraform-google-wandb,POL37,BOTH
Cray-HPE/sigstore-poc,POL14,BOTH
Cray-HPE/sigstore-poc,POL15,BOTH
GoogleCloudPlatform/guacamole-on-gcp,POL14,BOTH
GoogleCloudPlatform/guacamole-on-gcp,POL15,BOTH
GoogleCloudPlatform/guacamole-on-gcp,POL37,NONE
sushil46in/terraform_modules,POL14,BOTH
sushil46in/terraform_modules,POL15,BOTH
sushil46in/terraform_modules,POL37,BOTH
GoogleCloudPlatform/terraform-ecommerce-microservices-on-gke,POL14,BOTH
GoogleCloudPlatform/terraform-ecommerce-microservices-on-gke,POL15,BOTH
hashicorp/field-demos-consul-expand-team-qapla-assets,POL14,BOTH
hashicorp/field-demos-consul-expand-team-qapla-assets,POL15,BOTH
hashicorp/field-demos-consul-expand-team-qapla-assets,POL37,NONE
mw866/cloudflare-gke,POL14,BOTH
mw866/cloudflare-gke,POL15,BOTH
mw866/cloudflare-gke,POL37,NONE
thecloudterminal01/learn-devops,POL14,BOTH
thecloudterminal01/learn-devops,POL15,BOTH
thecloudterminal01/learn-devops,POL37,NONE
gbrembati/terraform-cloudguard-gke,POL14,BOTH
gbrembati/terraform-cloudguard-gke,POL15,BOTH
gbrembati/terraform-cloudguard-gke,POL37,NONE
fspin-k8s/fspin-infrastructure,POL14,BOTH
fspin-k8s/fspin-infrastructure,POL15,BOTH
liamstevens/gcp-pca-prep,POL14,BOTH
liamstevens/gcp-pca-prep,POL15,BOTH
nickjacques/example-gcp-iap-and-hierarchical-fw-terraform,POL37,NONE
identiq-protocol/edge-infrastructure,POL37,NONE
AndersenLab/CAENDR,POL28,NONE
AndersenLab/CAENDR,POL29,NONE
AndersenLab/CAENDR,POL30,NONE
AndersenLab/CAENDR,POL31,TFSEC
AndersenLab/CAENDR,POL32,NONE
genesys/multicloud-platform,POL14,BOTH
genesys/multicloud-platform,POL15,BOTH
ericreeves/packer-terraform-demo,POL37,NONE
bacalhau-project/amplify,POL28,NONE
bacalhau-project/amplify,POL29,NONE
bacalhau-project/amplify,POL30,NONE
bacalhau-project/amplify,POL31,TFSEC
bacalhau-project/amplify,POL32,NONE
bocan/mastodon-google-cloud,POL28,NONE
bocan/mastodon-google-cloud,POL29,NONE
bocan/mastodon-google-cloud,POL30,NONE
bocan/mastodon-google-cloud,POL31,TFSEC
bocan/mastodon-google-cloud,POL32,NONE
broadinstitute/monster-deploy,POL14,BOTH
broadinstitute/monster-deploy,POL15,BOTH
broadinstitute/monster-deploy,POL28,NONE
broadinstitute/monster-deploy,POL29,NONE
broadinstitute/monster-deploy,POL30,NONE
broadinstitute/monster-deploy,POL31,TFSEC
broadinstitute/monster-deploy,POL32,NONE
snsinfu/bit4,POL14,BOTH
snsinfu/bit4,POL15,BOTH
DDNStorage/exascaler-cloud-terraform,POL37,NONE
minhthinhls/Linux-Command-Line-Tools,POL37,NONE
eduardoocarneiro/terraform-gke,POL14,BOTH
eduardoocarneiro/terraform-gke,POL15,BOTH
eduardoocarneiro/terraform-gke,POL37,NONE
alphagov/govuk-knowledge-graph-gcp,POL37,NONE
gfilicetti/gHacks,POL37,NONE
jswortz/bqml-vertex-matching-engine,POL37,NONE
GoogleCloudPlatform/terraform-vpc-pupi,POL14,BOTH
GoogleCloudPlatform/terraform-vpc-pupi,POL15,BOTH
GoogleCloudPlatform/terraform-vpc-pupi,POL37,NONE
mohammadmonjureelahi/terraform-gke-helm-wordpress,POL14,BOTH
mohammadmonjureelahi/terraform-gke-helm-wordpress,POL15,BOTH
mohammadmonjureelahi/terraform-gke-helm-wordpress,POL37,CHECKOV
apstndb/image-pull-secret-controller,POL14,BOTH
apstndb/image-pull-secret-controller,POL15,BOTH
pwolthausen/terraform,POL14,BOTH
pwolthausen/terraform,POL15,BOTH
pwolthausen/terraform,POL37,NONE
Yougo007/gke-cluster,POL14,BOTH
Yougo007/gke-cluster,POL15,BOTH
Yougo007/gke-cluster,POL37,NONE
israelmendez232/gcp-data-lake-analytics,POL14,BOTH
israelmendez232/gcp-data-lake-analytics,POL15,BOTH
bruhsb/terraformation,POL37,NONE
pdemeulenaer/databricks-gcp-terraform,POL37,NONE
luismendezescobar/myproy,POL37,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL28,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL29,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL30,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL31,TFSEC
miiaht/kekkoslovakian-joulukortti-ky,POL32,NONE
miiaht/kekkoslovakian-joulukortti-ky,POL37,NONE
interledger/rafiki,POL14,BOTH
interledger/rafiki,POL15,BOTH
hashicorp/field-workshops-consul,POL14,BOTH
hashicorp/field-workshops-consul,POL15,BOTH
CiscoDevNet/AppD-Cloud-Kickstart,POL37,NONE
GoogleCloudPlatform/dataplex-labs,POL37,NONE
velascoluis/polyexpose,POL14,BOTH
velascoluis/polyexpose,POL15,BOTH
velascoluis/polyexpose,POL28,NONE
velascoluis/polyexpose,POL29,NONE
velascoluis/polyexpose,POL30,NONE
velascoluis/polyexpose,POL31,TFSEC
velascoluis/polyexpose,POL32,NONE
