Project Name,Policy ID,Evaluation
ine-labs/GCPGoat,POL39,BOTH
ine-labs/GCPGoat,POL41,NONE
ine-labs/GCPGoat,POL44,NONE
terraform-google-modules/terraform-google-sql-db,POL09,NONE
terraform-google-modules/terraform-google-sql-db,POL27,CHECKOV
terraform-google-modules/terraform-google-sql-db,POL28,NONE
terraform-google-modules/terraform-google-sql-db,POL29,NONE
terraform-google-modules/terraform-google-sql-db,POL30,NONE
terraform-google-modules/terraform-google-sql-db,POL31,TFSEC
terraform-google-modules/terraform-google-sql-db,POL32,NONE
input-output-hk/hydra,POL39,BOTH
input-output-hk/hydra,POL41,NONE
input-output-hk/hydra,POL44,NONE
googlecloudrobotics/core,POL09,BOTH
googlecloudrobotics/core,POL13,NONE
googlecloudrobotics/core,POL14,BOTH
googlecloudrobotics/core,POL15,BOTH
googlecloudrobotics/core,POL19,NONE
terraform-google-modules/terraform-docs-samples,POL27,CHECKOV
terraform-google-modules/terraform-docs-samples,POL28,NONE
terraform-google-modules/terraform-docs-samples,POL30,NONE
terraform-google-modules/terraform-docs-samples,POL32,NONE
terraform-google-modules/terraform-docs-samples,POL37,NONE
terraform-google-modules/terraform-docs-samples,POL39,BOTH
terraform-google-modules/terraform-docs-samples,POL41,NONE
terraform-google-modules/terraform-docs-samples,POL47,NONE
praetorian-inc/trident,POL13,NONE
praetorian-inc/trident,POL14,BOTH
praetorian-inc/trident,POL15,BOTH
praetorian-inc/trident,POL28,NONE
praetorian-inc/trident,POL29,NONE
praetorian-inc/trident,POL30,NONE
praetorian-inc/trident,POL31,TFSEC
praetorian-inc/trident,POL32,NONE
GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,POL09,BOTH
silverton-io/buz,POL09,NONE
sungchun12/airflow-toolkit,POL37,NONE
sungchun12/airflow-toolkit,POL39,BOTH
sungchun12/airflow-toolkit,POL41,NONE
sungchun12/airflow-toolkit,POL44,NONE
interuss/dss,POL13,NONE
interuss/dss,POL14,BOTH
interuss/dss,POL15,BOTH
ClimateImpactLab/downscaleCMIP6,POL09,BOTH
ClimateImpactLab/downscaleCMIP6,POL13,NONE
ClimateImpactLab/downscaleCMIP6,POL14,BOTH
