project_name,stars_passed,stars,forks,contributors,commits,commiters
ine-labs/GCPGoat,0.52,265,44,4,20,6
terraform-google-modules/terraform-google-sql-db,0.52,224,373,30,352,102
GoogleCloudPlatform/gcpdiag,0.5,215,53,30,966,66
input-output-hk/hydra,0.25806451612903225,199,64,28,6481,32
googlecloudrobotics/core,0.8253968253968254,183,53,29,1031,42
cloudfoundry/bosh-bootloader,0.5,177,183,30,57,3
terraform-google-modules/terraform-docs-samples,0.4384017758046615,164,129,30,317,34
praetorian-inc/trident,0.5681818181818182,138,33,6,16,6
api3dao/airnode,0.75,137,66,25,4597,34
GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,0.9375,132,52,8,84,9
convox/convox,0.5,125,50,30,627,36
interledger/rafiki,0.5,126,28,27,748,32
terraform-google-modules/terraform-google-cloud-storage,0.5,124,369,30,160,43
silverton-io/buz,0.5428571428571428,119,13,9,375,11
sungchun12/airflow-toolkit,0.8333333333333334,101,29,2,359,3
interuss/dss,0.28125,100,74,29,936,34
terraform-google-modules/docs-examples,0.5,85,74,3,411,3
confluentinc/terraform-provider-confluent,0.525,82,40,17,813,18
ClimateImpactLab/downscaleCMIP6,0.6185567010309279,83,19,9,1331,12
os-autoinst/os-autoinst-distri-opensuse,0.4523809523809524,73,249,30,32608,325
GoogleCloudPlatform/terraform-google-conversion,0.6153846153846154,71,32,26,838,29
hashicorp/field-workshops-consul,0.5792610250297974,69,64,25,1625,36
GoogleCloudPlatform/anthos-samples,0.9230769230769231,68,101,30,526,43
GoogleCloudPlatform/rad-lab,0.854066985645933,68,69,10,516,13
terraform-google-modules/terraform-google-log-export,0.5,62,81,30,198,42
fortinet/fortigate-terraform-deploy,0.5,61,165,8,285,10
terraform-google-modules/terraform-google-cloud-nat,0.5,60,65,25,99,27
GoogleCloudPlatform/cloud-sql-proxy-operator,0.4533333333333333,51,6,8,222,9
GoogleCloudPlatform/eventarc-samples,0.9,52,30,12,315,13
google/devops-governance,0.5,52,15,10,165,15
ministryofjustice/cloud-platform-infrastructure,0.047619047619047616,49,27,30,4345,50
2i2c-org/infrastructure,0.660377358490566,50,30,28,5712,37
GoogleCloudPlatform/knfsd-cache-utils,0.2,43,12,6,194,6
GoogleCloudPlatform/serverless-spark-workshop,0.8166666666666667,43,20,6,478,8
cockroachdb/terraform-provider-cockroach,0.5,42,2,10,128,13
40net-cloud/fortinet-azure-solutions,0.5,41,57,11,1924,15
roleypoly/roleypoly,0.5,40,3,3,501,4
GoogleCloudPlatform/terraform-google-secure-cicd,0.924963924963925,44,25,7,286,8
google/llvm-premerge-checks,0.6666666666666666,38,37,26,1017,28
jenkins-x/terraform-google-jx,0.6911764705882353,37,85,24,267,28
bhavink/databricks,0.9333333333333333,39,29,2,296,3
SygniaLabs/ScallOps,0.7205882352941176,37,9,3,87,5
nais/doc,0.8571428571428571,37,51,30,2590,116
databricks/terraform-databricks-lakehouse-blueprints,0.75,37,21,4,117,7
kyma-project/test-infra,0.9629629629629629,34,178,30,5416,190
llvm/llvm-zorg,0.28,36,48,30,4496,219
castai/terraform-provider-castai,0.5,34,9,18,166,22
ubiq/shokku,0.25,34,9,1,83,5
wynsen/gcp-enterprise,0.8151658767772512,32,19,1,13,1
mchmarny/s3cme,0.5,35,5,3,283,3
terraform-google-modules/terraform-google-cloud-router,0.5,34,44,20,74,22
pluralsh/plural-artifacts,0.5372960372960373,31,21,27,1585,35
eclipsesource/theia-cloud,0.42105263157894735,31,13,7,181,8
terraform-google-modules/terraform-google-group,0.5,30,23,8,38,10
sassoftware/viya4-iac-aws,0.6258992805755396,29,35,11,108,13
vmware/terraform-provider-avi,0.5,29,30,24,624,33
jimangel/kubernetes-the-easy-way,0.25,31,4,1,26,1
GoogleCloudPlatform/solutions-template,0.8556962025316456,28,12,4,229,6
hashicorp/terraform-dynamic-credentials-setup-examples,0.7142857142857143,34,16,4,29,4
rodalbuyeh/pyspark-k8s-boilerplate,0.4,25,8,1,145,2
spotify/terraform-google-aws-hybrid-cloud-vpn,0.5,24,15,1,8,2
hashicorp/hashicat-gcp,0.4166666666666667,24,989,10,99,12
GaloyMoney/charts,0.5,26,22,20,4401,26
privacysandbox/fledge-key-value-service,0.6521739130434783,25,5,7,14,8
google/privacy-sandbox-aggregation-service,0.8135593220338984,23,17,4,270,9
pactflow/terraform-provider-pact,0.5,22,4,2,173,2
secrethub/examples,0.7125,22,11,9,264,12
kislerdm/diagramastext,0.7073170731707317,21,1,2,151,2
sighupio/furyctl,0.5,26,2,19,722,33
GoogleCloudPlatform/monolith-to-microservices-example,0.45,19,11,2,13,3
mchmarny/restme,0.9473684210526315,19,1,2,44,2
The-Academic-Observatory/observatory-platform,0.5,18,5,10,286,10
hashicorp/cluster-api-provider-terraform-cloud,0.47368421052631576,18,0,4,21,4
HPInc/cloud_deployment_scripts,0.7715244129705553,17,25,9,1142,20
kiali/demos,0.4578313253012048,18,35,10,102,11
CiscoDevNet/AppD-Cloud-Kickstart,0.421875,16,13,5,1140,6
nearform/optic,0.5,16,3,25,320,26
datacommonsorg/website,0.7037037037037037,16,46,30,1954,36
GaloyMoney/galoy-infra,0.5,18,13,9,891,10
cds-snc/forms-terraform,0.8303341902313625,15,5,11,501,17
sassoftware/viya4-iac-gcp,0.7096774193548387,15,15,6,77,6
GoogleCloudPlatform/dataplex-labs,0.881159420289855,21,5,3,118,5
F5Networks/f5-bigip-runtime-init,0.5,14,13,7,498,9
KCarretto/realm,0.5714285714285714,14,1,5,194,9
kriasoft/terraform-starter-kit,0.5,14,1,1,8,1
tvories/k8s-gitops,0.5,14,1,2,3360,31
GoogleCloudPlatform/devrel-demos,0.9333333333333333,13,15,9,98,12
WhatsApp/whatsapp-business-api-deployment-templates,0.14583333333333334,15,10,5,12,7
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,0.6190476190476191,12,0,1,9,1
saeed349/Quant-Trading-Cloud-Infrastructure,0.1935483870967742,12,4,1,5,1
GoogleCloudPlatform/bq-utilization-alerts,0.9166666666666666,13,5,1,2,2
google/iap-compute-engine-demo,0.3333333333333333,12,1,1,18,2
abcxyz/lumberjack,0.9230769230769231,10,4,17,240,19
starburstdata/starburst-terraform,0.5729166666666666,12,4,1,75,2
GoogleCloudPlatform/cloud-hackathons,0.7,13,6,4,319,4
jetbrains-infra/terraform-aws-cognito-google-oauth-with-custom-domain,0.5,11,4,1,2,1
anitechcs/microservices-reference-application,0.38095238095238093,12,9,4,118,4
abyssparanoia/rapid-go,0.9090909090909091,11,0,5,2098,5
SatcherInstitute/health-equity-tracker,0.75,12,17,12,1350,21
gardener/gardener-extension-provider-gcp,0.5,11,66,30,775,68
GoogleCloudPlatform/terraform-google-load-balanced-vms,0.3333333333333333,11,8,8,78,8
PacketFabric/terraform-provider-packetfabric,0.5,10,3,10,313,13
DNXLabs/terraform-aws-ecs-app,0.3333333333333333,10,17,18,179,28
PaloAltoNetworks/terraform-google-vmseries-modules,0.6547231270358306,11,21,16,407,21
metro-digital/terraform-google-cf-projectcfg,0.75,10,7,12,64,13
Silectis/multi-cloud-vpn,0.8620689655172413,10,23,1,4,1
ScaleSec/gcp_threat_detection_auto_remediation,0.75,10,6,1,16,4
cloudspannerecosystem/spanner-gaming-sample,0.8363636363636363,9,2,2,48,2
GoogleCloudPlatform/terraform-sample-tools,0.4375,9,9,4,103,5
canada-ca/accelerators_accelerateurs-gcp,0.9512195121951219,9,9,26,242,27
cloud-computer/cloud-computer,0.38461538461538464,9,6,2,655,5
chainguard-dev/registry-redirect,0.9473684210526315,13,4,1,65,1
CloudVLab/terraform-lab-foundation,0.5,9,8,3,831,8
GoogleCloudPlatform/solutions-istio-mesh-expansion-migration,0.7954545454545454,7,6,2,20,2
GoogleCloudPlatform/solutions-geospatial-analytics,0.45454545454545453,8,7,3,51,3
ita-social-projects/OoS-Backend,0.7252747252747253,8,4,30,592,51
amplication/amplication-site,0.75,8,13,23,713,30
Armitagency/cloud-native-security-cookbook-tf,0.5,8,9,1,1,1
cldcvr/gcifi-lz,0.924812030075188,8,0,7,39,13
velascoluis/polyexpose,0.3333333333333333,8,1,2,2,2
Quansight/qhub-ops,0.5,8,4,5,179,6
infrahq/terraform-provider-infra,0.5,8,0,3,74,3
Vizzuality/landgriffon,0.3026315789473684,8,3,23,4188,39
cscetbon/casskop,0.5,8,5,25,1672,28
GoogleCloudPlatform/gke-securing-third-party-apps-blueprint,0.9090909090909091,6,8,4,54,4
wandb/terraform-google-wandb,0.7551020408163265,9,5,9,125,9
mscribellito/terraform-google-workload-identity-federation,0.5,7,0,1,15,1
dlorch/errors.fail,0.75,7,0,1,44,1
GoogleCloudPlatform/aactl,0.5,0,0,2,100,5
s1mark/cloud_hun,0.5,6,0,20,137,24
frealmyr/homelab,0.75,6,0,1,48,2
Worklytics/psoxy,0.714975845410628,6,7,6,1645,8
Cray-HPE/sigstore-poc,0.6666666666666666,6,3,3,83,5
JMGaljaard/fltk-testbed,0.76,6,63,6,559,12
GoogleCloudPlatform/guacamole-on-gcp,0.8,7,0,1,4,1
sushil46in/terraform_modules,0.581081081081081,9,14,2,202,4
GoogleCloudPlatform/terraform-ecommerce-microservices-on-gke,0.5882352941176471,9,0,4,79,4
