project_name,stars_passed,stars,forks,contributors,commits,commiters
DanTulovsky/wetsnow-tf0,0.8571428571428571,2,0,1,818,2
GoogleCloudPlatform/microservices-demo,0.625,14039,4925,30,1430,121
gitpod-io/gitpod,0.6875,10632,1073,30,9901,154
bridgecrewio/checkov,0.5,5512,892,30,14241,349
WorldHealthOrganization/app,0.2,2119,521,30,792,65
google/osv.dev,0.5,1101,125,23,819,24
codeaprendiz/learn-devops,0.5982142857142857,1072,167,1,795,4
GoogleCloudPlatform/kubernetes-engine-samples,0.8564593301435407,1040,1099,30,433,76
GoogleCloudPlatform/cloud-foundation-fabric,0.797271693823418,942,525,30,4054,144
GoogleCloudPlatform/cloud-foundation-toolkit,0.5454545454545454,821,397,30,1402,102
GoogleCloudPlatform/bank-of-anthos,0.5217391304347826,715,450,30,1536,54
GoogleCloudPlatform/magic-modules,0.5,649,970,30,6676,615
GoogleCloudPlatform/k8s-config-connector,0.6464088397790055,634,126,12,458,19
edgelesssys/constellation,0.5384615384615384,641,22,23,2525,34
returntocorp/semgrep-rules,0.595112285336856,523,286,30,3100,192
kubernetes/k8s.io,0.5983606557377049,470,618,30,9826,458
GoogleCloudPlatform/terraform-validator,0.5555555555555556,441,96,30,1495,37
alphagov/govuk-aws,0.375,401,71,30,3898,104
xUnholy/k8s-gitops,0.25,318,23,24,3360,31
bacalhau-project/bacalhau,0.7083333333333334,310,55,30,2920,38
ine-labs/GCPGoat,0.2894736842105263,265,44,4,20,6
terraform-google-modules/terraform-google-sql-db,0.5691056910569106,224,373,30,352,102
GoogleCloudPlatform/gcpdiag,0.6296296296296297,215,53,30,966,66
input-output-hk/hydra,0.5,199,64,28,6481,32
googlecloudrobotics/core,0.75,183,53,29,1031,42
cloudfoundry/bosh-bootloader,0.8548387096774194,177,183,30,57,3
terraform-google-modules/terraform-docs-samples,0.6186556927297668,164,129,30,317,34
praetorian-inc/trident,0.5,138,33,6,16,6
GoogleCloudPlatform/vertex-pipelines-end-to-end-samples,0.6875,132,52,8,84,9
convox/convox,0.6470588235294118,125,50,30,627,36
terraform-google-modules/terraform-google-cloud-storage,0.8,124,369,30,160,43
silverton-io/buz,0.23076923076923078,119,13,9,375,11
sungchun12/airflow-toolkit,0.6666666666666666,101,29,2,359,3
interuss/dss,0.625,100,74,29,936,34
terraform-google-modules/docs-examples,0.3770491803278688,85,74,3,411,3
ClimateImpactLab/downscaleCMIP6,0.532608695652174,83,19,9,1331,12
GoogleCloudPlatform/terraform-google-conversion,0.6,71,32,26,838,29
GoogleCloudPlatform/rad-lab,0.7103825136612022,68,69,10,516,13
terraform-google-modules/terraform-google-log-export,0.8571428571428571,62,81,30,198,42
fortinet/fortigate-terraform-deploy,0.5382513661202186,61,165,8,285,10
terraform-google-modules/terraform-google-cloud-nat,0.41509433962264153,60,65,25,99,27
GoogleCloudPlatform/cloud-sql-proxy-operator,0.5853658536585366,51,6,8,222,9
GoogleCloudPlatform/eventarc-samples,0.625,52,30,12,315,13
google/devops-governance,0.9,52,15,10,165,15
2i2c-org/infrastructure,0.7058823529411765,50,30,28,5712,37
GoogleCloudPlatform/knfsd-cache-utils,0.8529411764705882,43,12,6,194,6
GoogleCloudPlatform/terraform-google-secure-cicd,0.7777777777777778,44,25,7,286,8
google/llvm-premerge-checks,0.5625,38,37,26,1017,28
jenkins-x/terraform-google-jx,0.6774193548387096,37,85,24,267,28
SygniaLabs/ScallOps,0.7727272727272727,37,9,3,87,5
nais/doc,0.5,37,51,30,2590,116
databricks/terraform-databricks-lakehouse-blueprints,0.2,37,21,4,117,7
kyma-project/test-infra,0.8260869565217391,34,178,30,5416,190
llvm/llvm-zorg,0.5555555555555556,36,48,30,4496,219
wynsen/gcp-enterprise,0.8144329896907216,32,19,1,13,1
pluralsh/plural-artifacts,0.325,31,21,27,1585,35
eclipsesource/theia-cloud,0.5,31,13,7,181,8
vmware/terraform-provider-avi,0.6875,29,30,24,624,33
GoogleCloudPlatform/solutions-template,0.45454545454545453,28,12,4,229,6
rodalbuyeh/pyspark-k8s-boilerplate,0.5,25,8,1,145,2
hashicorp/hashicat-gcp,0.42857142857142855,24,989,10,99,12
google/privacy-sandbox-aggregation-service,0.6551724137931034,23,17,4,270,9
kislerdm/diagramastext,0.7,21,1,2,151,2
GoogleCloudPlatform/monolith-to-microservices-example,0.5909090909090909,19,11,2,13,3
mchmarny/restme,0.6,19,1,2,44,2
The-Academic-Observatory/observatory-platform,0.5806451612903226,18,5,10,286,10
hashicorp/cluster-api-provider-terraform-cloud,0.5,18,0,4,21,4
HPInc/cloud_deployment_scripts,0.7789473684210526,17,25,9,1142,20
kiali/demos,0.6296296296296297,18,35,10,102,11
datacommonsorg/website,0.7368421052631579,16,46,30,1954,36
GaloyMoney/galoy-infra,0.6936936936936937,18,13,9,891,10
sassoftware/viya4-iac-gcp,0.6818181818181818,15,15,6,77,6
F5Networks/f5-bigip-runtime-init,0.6060606060606061,14,13,7,498,9
KCarretto/realm,0.8181818181818182,14,1,5,194,9
kriasoft/terraform-starter-kit,0.3333333333333333,14,1,1,8,1
WhatsApp/whatsapp-business-api-deployment-templates,0.5,15,10,5,12,7
GoogleCloudPlatform/matching-engine-tutorial-for-image-search,0.5769230769230769,12,0,1,9,1
saeed349/Quant-Trading-Cloud-Infrastructure,0.375,12,4,1,5,1
GoogleCloudPlatform/bq-utilization-alerts,0.7777777777777778,13,5,1,2,2
google/iap-compute-engine-demo,0.7777777777777778,12,1,1,18,2
abcxyz/lumberjack,0.6470588235294118,10,4,17,240,19
starburstdata/starburst-terraform,0.7083333333333334,12,4,1,75,2
GoogleCloudPlatform/cloud-hackathons,0.7391304347826086,13,6,4,319,4
anitechcs/microservices-reference-application,0.3333333333333333,12,9,4,118,4
abyssparanoia/rapid-go,0.631578947368421,11,0,5,2098,5
SatcherInstitute/health-equity-tracker,0.45614035087719296,12,17,12,1350,21
GoogleCloudPlatform/terraform-google-load-balanced-vms,0.6666666666666666,11,8,8,78,8
PacketFabric/terraform-provider-packetfabric,0.3488372093023256,10,3,10,313,13
PaloAltoNetworks/terraform-google-vmseries-modules,0.6046511627906976,11,21,16,407,21
metro-digital/terraform-google-cf-projectcfg,0.9069767441860465,10,7,12,64,13
Silectis/multi-cloud-vpn,0.2,10,23,1,4,1
ScaleSec/gcp_threat_detection_auto_remediation,0.3333333333333333,10,6,1,16,4
cloudspannerecosystem/spanner-gaming-sample,0.4375,9,2,2,48,2
GoogleCloudPlatform/terraform-sample-tools,0.631578947368421,9,9,4,103,5
canada-ca/accelerators_accelerateurs-gcp,0.75,9,9,26,242,27
cloud-computer/cloud-computer,0.5714285714285714,9,6,2,655,5
chainguard-dev/registry-redirect,0.3333333333333333,13,4,1,65,1
CloudVLab/terraform-lab-foundation,0.7084398976982097,9,8,3,831,8
GoogleCloudPlatform/solutions-istio-mesh-expansion-migration,0.6666666666666666,7,6,2,20,2
GoogleCloudPlatform/solutions-geospatial-analytics,0.7,8,7,3,51,3
ita-social-projects/OoS-Backend,0.8923076923076924,8,4,30,592,51
amplication/amplication-site,0.5,8,13,23,713,30
Armitagency/cloud-native-security-cookbook-tf,0.6811023622047244,8,9,1,1,1
cldcvr/gcifi-lz,0.7620396600566572,8,0,7,39,13
GoogleCloudPlatform/gke-securing-third-party-apps-blueprint,0.9310344827586207,6,8,4,54,4
wandb/terraform-google-wandb,0.8076923076923077,9,5,9,125,9
dlorch/errors.fail,0.5,7,0,1,44,1
Worklytics/psoxy,0.5,6,7,6,1645,8
Cray-HPE/sigstore-poc,0.7391304347826086,6,3,3,83,5
GoogleCloudPlatform/guacamole-on-gcp,0.8048780487804879,7,0,1,4,1
sushil46in/terraform_modules,0.6904761904761905,9,14,2,202,4
GoogleCloudPlatform/terraform-ecommerce-microservices-on-gke,0.6551724137931034,9,0,4,79,4
octue/octue-sdk-python,0.5,5,2,3,3577,6
GoogleCloudPlatform/terraform-dynamic-javascript-webapp,0.2857142857142857,7,0,5,122,6
GoogleCloudPlatform/developer-journey-app,0.7777777777777778,6,2,8,97,9
hashicorp/field-demos-consul-expand-team-qapla-assets,0.3333333333333333,5,4,4,28,6
smsilva/kubernetes,0.3333333333333333,5,3,1,746,2
knative/infra,0.47368421052631576,5,5,30,2754,116
antoine-amara/staticpack,0.2,5,0,1,63,3
mw866/cloudflare-gke,0.4166666666666667,5,0,1,15,2
thecloudterminal01/learn-devops,0.5982142857142857,5,5,1,795,4
gbrembati/terraform-cloudguard-gke,0.3333333333333333,5,6,2,44,3
onugg/onu,0.3076923076923077,5,1,3,309,5
fspin-k8s/fspin-infrastructure,0.35714285714285715,5,0,1,310,2
liamstevens/gcp-pca-prep,0.39622641509433965,5,3,1,116,1
GoogleCloudPlatform/csa-fw-microsegmentation,0.6595744680851063,5,1,1,3,1
agileguru/introtocloudandiac,0.1111111111111111,8,4,1,7,1
HCA97/de-zoomcamp-project,0.4375,4,1,1,24,2
cleibl/terraform-google-gsuite-exporter-cfn,0.2,4,1,0,21,1
nickjacques/example-gcp-iap-and-hierarchical-fw-terraform,0.4375,4,1,1,3,1
identiq-protocol/edge-infrastructure,0.5555555555555556,4,0,9,296,12
AndersenLab/CAENDR,0.2641509433962264,4,3,6,1333,9
genesys/multicloud-platform,0.5483870967741935,4,5,1,14,2
shapleya/tf_gcp_iap_tunnel_ssh_demo,0.8205128205128205,4,3,1,8,2
ericreeves/packer-terraform-demo,0.42857142857142855,3,6,1,42,1
bacalhau-project/amplify,0.6486486486486487,6,0,2,94,3
galkin/firebase-workshop-devops,0.5,4,3,1,3,1
bocan/mastodon-google-cloud,0.6,4,0,1,13,1
broadinstitute/terraform-ap-modules,0.821917808219178,3,0,30,325,34
google/video-exclusion-toolbox,0.2903225806451613,4,0,2,7,2
broadinstitute/monster-deploy,0.5320754716981132,3,1,8,297,12
snsinfu/bit4,0.5925925925925926,3,2,2,1295,3
DataBiosphere/data-store,0.5384615384615384,3,2,21,1804,29
basisai/terraform-google-vault,0.8181818181818182,3,3,1,18,1
DDNStorage/exascaler-cloud-terraform,0.6379310344827587,3,0,1,17,1
memes/terraform-google-f5-bigip,0.7,3,4,2,392,2
minhthinhls/Linux-Command-Line-Tools,0.5840163934426229,3,0,1,20,1
eduardoocarneiro/terraform-gke,0.3333333333333333,3,1,1,9,2
gitrgoliveira/tfc-jit-demo,0.5,3,3,1,11,1
CoEDL/elpiscloud,0.375,3,0,5,279,6
jonathanbaraldi/devopsforlife-terraform-to-pulumi,0.3333333333333333,3,3,1,8,3
inabagumi/pinkie,0.3333333333333333,3,0,4,449,4
gbrayut/cloud-examples,0.42857142857142855,3,1,1,25,1
abcxyz/terraform-modules,0.8571428571428571,2,0,6,25,6
batect/abacus,0.4,2,1,5,2478,5
lacework-dev/detc-resources,0.625,2,1,2,159,3
alphagov/govuk-knowledge-graph-gcp,0.2470389170896785,4,0,2,718,2
LucasPickering/beta-spray,0.35714285714285715,3,0,1,529,1
Erfandarzi/medscale,0.3333333333333333,1,0,1,3,2
inabagumi/graph-infra,0.3333333333333333,2,0,2,862,2
ninech/blackbox-exporter-cloudfunction,0.2,2,0,2,23,5
limebrew-org/limebrew-infra,0.7058823529411765,2,1,2,7,2
dragondrop-cloud/terraform-google-dragondrop-compute,0.5,2,0,1,66,2
springml-code/terraform-structure,0.5675675675675675,2,0,2,101,3
vyshkov/gcp-serverless,0.1,2,0,1,246,2
ubikasec/ubika-waap-extra,0.8444444444444444,2,3,3,108,16
jonpulsifer/infra,0.6829268292682927,2,0,2,2754,116
GoogleCloudPlatform/terraform-google-cloud-ids,0.75,4,0,3,8,3
gfilicetti/gHacks,0.7391304347826086,2,2,4,271,4
jswortz/bqml-vertex-matching-engine,0.5945945945945946,2,0,1,118,7
GoogleCloudPlatform/terraform-vpc-pupi,0.3125,2,4,1,2,1
mohammadmonjureelahi/terraform-gke-helm-wordpress,0.7777777777777778,2,0,2,5,3
cloudfoundry/app-runtime-interfaces-infrastructure,0.6,2,2,9,198,10
fpgmaas/cloudrun-example-infra,0.16666666666666666,2,2,0,18,1
rahil-p/personal-site,0.5,2,0,1,95,2
iganari/package-gcp,0.48623853211009177,2,0,1,1988,3
ineffyble/AllTheClouds,0.25,2,1,1,13,2
apstndb/image-pull-secret-controller,0.5,2,0,1,8,1
byronwhitlock-google/AutoML-Labeling-Tool,0.75,2,1,3,103,3
arquivei/template-tf-module,0.3333333333333333,2,0,1,10,1
pwolthausen/terraform,0.8062015503875969,2,0,1,93,5
memes/f5-google-cloud-router-big-ip,0.8,1,0,1,22,1
Yougo007/gke-cluster,0.3333333333333333,2,0,1,69,1
israelmendez232/gcp-data-lake-analytics,0.21875,2,0,1,23,2
bruhsb/terraformation,0.2,2,0,1,37,1
kevinpz/terraform-gcp-examples,0.25,2,2,1,2,2
pdemeulenaer/databricks-gcp-terraform,0.4,2,0,1,11,2
sysdiglabs/terraform-google-secure-for-cloud,0.8205128205128205,2,12,12,203,16
luismendezescobar/myproy,0.6421568627450981,2,0,2,1619,5
arueth/cloudrun-web-django-tf,0.5106382978723404,2,0,1,1,1
miiaht/kekkoslovakian-joulukortti-ky,0.4807692307692308,2,1,4,124,7
chainguard-dev/terraform-google-chainguard-account-association,0.9166666666666666,2,7,7,27,8
harinderjits-git/sampleapppub,0.6904761904761905,2,0,0,3,1
speakeasy-api/helm-charts,0.5,2,0,6,43,5
gravitational/teleport,0.5,14257,1474,30,12777,312
GoogleCloudPlatform/professional-services,0.769469197985277,2481,1227,30,1839,264
determined-ai/determined,0.6530612244897959,2272,306,30,5504,116
GoogleCloudPlatform/community,0.5436893203883495,1814,1704,30,1497,370
hail-is/hail,0.7166666666666667,878,227,30,10607,88
digital-asset/daml,0.5434782608695652,754,191,30,11718,167
interledger/rafiki,0.625,126,28,27,748,32
os-autoinst/os-autoinst-distri-opensuse,0.4,73,249,30,32608,325
hashicorp/field-workshops-consul,0.7,69,64,25,1625,36
GoogleCloudPlatform/serverless-spark-workshop,0.3469387755102041,43,20,6,478,8
40net-cloud/fortinet-azure-solutions,0.6056338028169014,41,57,11,1924,15
secrethub/examples,0.8125,22,11,9,264,12
CiscoDevNet/AppD-Cloud-Kickstart,0.6095238095238096,16,13,5,1140,6
GoogleCloudPlatform/dataplex-labs,0.5714285714285714,21,5,3,118,5
DragonSecSI/DCTF-2022,0.5,9,0,15,143,17
velascoluis/polyexpose,0.42424242424242425,8,1,2,2,2
cscetbon/casskop,0.5714285714285714,8,5,25,1672,28
