cloud_provider,service,check_name,check_description,Selected,Category,Code,
google,iam,no-folder-level-default-service-account-assignment,Roles should not be assigned to default service accounts,TRUE,Admin by default,AVD-GCP-0004,
google,iam,no-org-level-default-service-account-assignment,Roles should not be assigned to default service accounts,TRUE,Admin by default,AVD-GCP-0008,
google,iam,no-org-level-service-account-impersonation,Users should not be granted service account access at the organization level,TRUE,Admin by default,AVD-GCP-0009,
google,iam,no-privileged-service-accounts,Service accounts should not have roles assigned with excessive privileges,TRUE,Admin by default,AVD-GCP-0007,
google,iam,no-project-level-default-service-account-assignment,Roles should not be assigned to default service accounts,TRUE,Admin by default,AVD-GCP-0006,
google,iam,no-project-level-service-account-impersonation,Users should not be granted service account access at the project level,TRUE,Admin by default,AVD-GCP-0011,
google,iam,no-user-granted-permissions,IAM granted directly to user.,TRUE,Access policy,AVD-GCP-0003,
google,bigquery,no-public-access,BigQuery datasets should only be accessible within the organisation,TRUE,Access policy,AVD-GCP-0046,
google,storage,enable-ubla,Ensure that Cloud Storage buckets have uniform bucket-level access enabled,TRUE,Access policy,AVD-GCP-0002,
google,storage,no-public-access,Ensure that Cloud Storage bucket is not anonymously or publicly accessible.,TRUE,Access policy,AVD-AZU-0007,
google,gke,enable-ip-aliasing,Clusters should have IP aliasing enabled,TRUE,IP Address binding,AVD-GCP-0049,
google,gke,enable-network-policy,Network Policy should be enabled on GKE clusters,TRUE,Access policy,AVD-GCP-0056,
google,gke,enable-private-cluster,Clusters should be set to private,TRUE,Access policy,AVD-GCP-0059,
google,gke,enable-stackdriver-logging,Stackdriver Logging should be enabled,TRUE,Logging/Monitoring,AVD-GCP-0060,
google,gke,enable-stackdriver-monitoring,Stackdriver Monitoring should be enabled,TRUE,Logging/Monitoring,AVD-GCP-0052,
google,gke,no-public-control-plane,GKE Control Plane should not be publicly accessible,TRUE,Access policy,AVD-GCP-0053,
google,gke,use-rbac-permissions,Legacy ABAC permissions are enabled.,TRUE,Access policy,AVD-GCP-0062,
google,gke,use-service-account,Checks for service account defined for GKE nodes,TRUE,Access policy,AVD-GCP-0050,
google,dns,enable-dnssec,Cloud DNS should use DNSSEC,TRUE,Encryption in transit,AVD-GCP-0013,
google,dns,no-rsa-sha1,Zone signing should not use RSA SHA1,TRUE,Encryption at rest,AVD-GCP-0012,
google,sql,enable-pg-temp-file-logging,Temporary file logging should be enabled for all temporary files.,TRUE,Logging/Monitoring,AVD-GCP-0014,
google,sql,encrypt-in-transit-data,SSL connections to a SQL database instance should be enforced.,TRUE,Encryption in transit,AVD-GCP-0015,
google,sql,no-contained-db-auth,Contained database authentication should be disabled,TRUE,Access policy,AVD-GCP-0023,
google,sql,no-cross-db-ownership-chaining,Cross-database ownership chaining should be disabled,TRUE,Admin by default,AVD-GCP-0019,
google,sql,no-public-access,Ensure that Cloud SQL Database Instances are not publicly exposed,TRUE,Access policy,AVD-GCP-0017,
google,sql,pg-log-checkpoints,Ensure that logging of checkpoints is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0025,
google,sql,pg-log-connections,Ensure that logging of connections is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0016,
google,sql,pg-log-disconnections,Ensure that logging of disconnections is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0022,
google,sql,pg-log-errors,Ensure that Postgres errors are logged,TRUE,Logging/Monitoring,AVD-GCP-0018,
google,sql,pg-log-lock-waits,Ensure that logging of lock waits is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0020,
google,sql,pg-no-min-statement-logging,Ensure that logging of long statements is disabled.,TRUE,Logging/Monitoring,AVD-GCP-0021,
google,compute,disk-encryption-customer-key,Disks should be encrypted with customer managed encryption keys,TRUE,Encryption at rest,AVD-GCP-003,
google,compute,disk-encryption-no-plaintext-key,The encryption key used to encrypt a compute disk has been specified in plaintext.,TRUE,Hard-coded secret,AVD-GCP-0037,
google,compute,enable-shielded-vm-im,Instances should have Shielded VM integrity monitoring enabled,TRUE,Logging/Monitoring,AVD-GCP-0045,
google,compute,enable-vpc-flow-logs,VPC flow logs should be enabled for all subnetworks,TRUE,Logging/Monitoring,AVD-GCP-0029,
google,compute,no-default-service-account,Instances should not use the default service account,TRUE,Admin by default,AVD-GCP-0044,
google,compute,no-ip-forwarding,Instances should not have IP forwarding enabled,TRUE,IP Address binding,AVD-GCP-0043,
google,compute,no-oslogin-override,Instances should not override the project setting for OS Login,TRUE,Access policy,AVD-GCP-0036,
google,compute,no-project-wide-ssh-keys,Disable project-wide SSH keys for all instances,TRUE,Access policy,AVD-GCP-0030,
google,compute,no-public-egress,An outbound firewall rule allows traffic to /0.,TRUE,IP Address binding,AVD-GCP-0035,
google,compute,no-public-ingress,An inbound firewall rule allows traffic from /0.,TRUE,IP Address binding,AVD-GCP-0027,
google,compute,no-public-ip,Instances should not have public IP addresses,TRUE,IP Address binding,AVD-GCP-0031,
google,compute,no-serial-port,Disable serial port connectivity for all instances,TRUE,Access policy,AVD-GCP-0032,
google,compute,use-secure-tls-policy,SSL policies should enforce secure versions of TLS,TRUE,Encryption in transit,AVD-GCP-0039,
google,compute,vm-disk-encryption-customer-key,VM disks should be encrypted with Customer Supplied Encryption Keys,TRUE,Encryption at rest,AVD-GCP-0033,
general,secrets,no-plaintext-exposure,Secret/sensitive data should not be exposed in plaintext.,TRUE,Hard-coded secret,,
