POLICY_ID,cloud_provider,service,check_name,check_description,Selected,Category,Code_Tfsec,Code_Checkov,,
POL01,google,iam,no-folder-level-default-service-account-assignment,Roles should not be assigned to default service accounts,TRUE,Admin by default,AVD-GCP-0004,,,
POL02,google,iam,no-org-level-default-service-account-assignment,Roles should not be assigned to default service accounts,TRUE,Admin by default,AVD-GCP-0008,,,
POL03,google,iam,no-org-level-service-account-impersonation,Users should not be granted service account access at the organization level,TRUE,Admin by default,AVD-GCP-0009,CKV_GCP_45,,
POL04,google,iam,no-privileged-service-accounts,Service accounts should not have roles assigned with excessive privileges,TRUE,Admin by default,AVD-GCP-0007,CKV_GCP_42,,
POL05,google,iam,no-project-level-default-service-account-assignment,Roles should not be assigned to default service accounts,TRUE,Admin by default,AVD-GCP-0006,CKV_GCP_30,Not targeted by our study,
POL06,google,iam,no-project-level-service-account-impersonation,Users should not be granted service account access at the project level,TRUE,Admin by default,AVD-GCP-0011,CKV_GCP_49,,
POL07,google,iam,no-user-granted-permissions,IAM granted directly to user.,TRUE,Access policy,AVD-GCP-0003,CKV_GCP_41,Not targeted by our study,
POL08,google,bigquery,no-public-access,BigQuery datasets should only be accessible within the organisation,TRUE,Access policy,AVD-GCP-0046,CKV_GCP_15,,
POL09,google,storage,enable-ubla,Ensure that Cloud Storage buckets have uniform bucket-level access enabled,TRUE,Access policy,AVD-GCP-0002,CKV_GCP_29,,
POL10,google,storage,no-public-access,Ensure that Cloud Storage bucket is not anonymously or publicly accessible.,TRUE,Access policy,AVD-AZU-0007,CKV_GCP_28,,
POL11,google,gke,enable-ip-aliasing,Clusters should have IP aliasing enabled,TRUE,IP Address binding,AVD-GCP-0049,,,
POL12,google,gke,enable-network-policy,Network Policy should be enabled on GKE clusters,TRUE,Access policy,AVD-GCP-0056,CKV_GCP_20,Not targeted by our study,
POL13,google,gke,enable-private-cluster,Clusters should be set to private,TRUE,Access policy,AVD-GCP-0059,CKV_GCP_64,,
POL14,google,gke,enable-stackdriver-logging,Stackdriver Logging should be enabled,TRUE,Logging/Monitoring,AVD-GCP-0060,CKV_GCP_1,,
POL15,google,gke,enable-stackdriver-monitoring,Stackdriver Monitoring should be enabled,TRUE,Logging/Monitoring,AVD-GCP-0052,CKV_GCP_8,,
POL16,google,gke,no-public-control-plane,GKE Control Plane should not be publicly accessible,TRUE,Access policy,AVD-GCP-0053,CKV_GCP_18,,
POL17,google,gke,use-rbac-permissions,Legacy ABAC permissions are enabled.,TRUE,Access policy,AVD-GCP-0062,,,
POL18,google,gke,use-service-account,Checks for service account defined for GKE nodes,TRUE,Access policy,AVD-GCP-0050,,,
POL19,google,dns,enable-dnssec,Cloud DNS should use DNSSEC,TRUE,Encryption in transit,AVD-GCP-0013,CKV_GCP_16,,
POL20,google,dns,no-rsa-sha1,Zone signing should not use RSA SHA1,TRUE,Encryption at rest,AVD-GCP-0012,CKV_GCP_17,Not targeted by our study,
POL21,google,sql,enable-pg-temp-file-logging,Temporary file logging should be enabled for all temporary files.,TRUE,Logging/Monitoring,AVD-GCP-0014,,,
POL22,google,sql,encrypt-in-transit-data,SSL connections to a SQL database instance should be enforced.,TRUE,Encryption in transit,AVD-GCP-0015,CKV_AZURE_28,,
POL23,google,sql,encrypt-in-transit-data,SSL connections to a SQL database instance should be enforced.,TRUE,Encryption in transit,AVD-GCP-0015,CKV_AZURE_29,,
POL24,google,sql,encrypt-in-transit-data,SSL connections to a SQL database instance should be enforced.,TRUE,Encryption in transit,AVD-GCP-0015,CKV_AZURE_47,,
POL25,google,sql,no-contained-db-auth,Contained database authentication should be disabled,TRUE,Access policy,AVD-GCP-0023,CKV_GCP_59,Not targeted by our study,
POL26,google,sql,no-cross-db-ownership-chaining,Cross-database ownership chaining should be disabled,TRUE,Admin by default,AVD-GCP-0019,CKV_GCP_58,Not targeted by our study,
POL27,google,sql,no-public-access,Ensure that Cloud SQL Database Instances are not publicly exposed,TRUE,Access policy,AVD-GCP-0017,CKV_GCP_11,,
POL28,google,sql,pg-log-checkpoints,Ensure that logging of checkpoints is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0025,CKV_GCP_51,,
POL29,google,sql,pg-log-connections,Ensure that logging of connections is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0016,CKV_GCP_52,,
POL30,google,sql,pg-log-disconnections,Ensure that logging of disconnections is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0022,CKV_GCP_53,,
POL31,google,sql,pg-log-errors,Ensure that Postgres errors are logged,TRUE,Logging/Monitoring,AVD-GCP-0018,CKV_GCP_109,,
POL32,google,sql,pg-log-lock-waits,Ensure that logging of lock waits is enabled.,TRUE,Logging/Monitoring,AVD-GCP-0020,CKV_GCP_54,,
POL33,google,sql,pg-no-min-statement-logging,Ensure that logging of long statements is disabled.,TRUE,Logging/Monitoring,AVD-GCP-0021,,,
POL34,google,compute,disk-encryption-customer-key,Disks should be encrypted with customer managed encryption keys,TRUE,Encryption at rest,AVD-GCP-003,,,
POL35,google,compute,disk-encryption-no-plaintext-key,The encryption key used to encrypt a compute disk has been specified in plaintext.,TRUE,Hard-coded secret,AVD-GCP-0037,,,
POL36,google,compute,enable-shielded-vm-im,Instances should have Shielded VM integrity monitoring enabled,TRUE,Logging/Monitoring,AVD-GCP-0045,CKV_GCP_39,Not targeted by our study,
POL37,google,compute,enable-vpc-flow-logs,VPC flow logs should be enabled for all subnetworks,TRUE,Logging/Monitoring,AVD-GCP-0029,CKV_GCP_26,,
POL38,google,compute,no-default-service-account,Instances should not use the default service account,TRUE,Admin by default,AVD-GCP-0044,CKV_GCP_30,Not targeted by our study,
POL39,google,compute,no-ip-forwarding,Instances should not have IP forwarding enabled,TRUE,IP Address binding,AVD-GCP-0043,CKV_GCP_36,,
POL40,google,compute,no-oslogin-override,Instances should not override the project setting for OS Login,TRUE,Access policy,AVD-GCP-0036,CKV_GCP_34,Not targeted by our study,
POL41,google,compute,no-project-wide-ssh-keys,Disable project-wide SSH keys for all instances,TRUE,Access policy,AVD-GCP-0030,CKV_GCP_32,,
POL42,google,compute,no-public-egress,An outbound firewall rule allows traffic to /0.,TRUE,IP Address binding,AVD-GCP-0035,,,
POL43,google,compute,no-public-ingress,An inbound firewall rule allows traffic from /0.,TRUE,IP Address binding,AVD-GCP-0027,,,
POL44,google,compute,no-public-ip,Instances should not have public IP addresses,TRUE,IP Address binding,AVD-GCP-0031,CKV_GCP_40,,
POL45,google,compute,no-serial-port,Disable serial port connectivity for all instances,TRUE,Access policy,AVD-GCP-0032,CKV_GCP_35,Not target by our study,
POL46,google,compute,use-secure-tls-policy,SSL policies should enforce secure versions of TLS,TRUE,Encryption in transit,AVD-GCP-0039,,,
POL47,google,compute,vm-disk-encryption-customer-key,VM disks should be encrypted with Customer Supplied Encryption Keys,TRUE,Encryption at rest,AVD-GCP-0033,CKV_GCP_37,,
POL48,general,secrets,no-plaintext-exposure,Secret/sensitive data should not be exposed in plaintext.,TRUE,Hard-coded secret,,,,
