code,original_category,assigned_category
CKV_AWS_1,Admin by default,Access Policy
CKV_AWS_2,Encryption in Transit,Encryption in Transit
CKV_AWS_3,Encryption at Rest,Encryption at Rest
CKV_AWS_5,Encryption at Rest,Encryption at Rest
CKV_AWS_6,Encryption in Transit,Encryption in Transit
CKV_AWS_8,Encryption at Rest,Encryption at Rest
CKV_AWS_16,Encryption at Rest,Encryption at Rest
CKV_AWS_17,Access Policy,Access Policy
CKV_AWS_18,Logging/Monitoring,Logging/Monitoring
CKV_AWS_19,Encryption at Rest,Encryption at Rest
CKV_AWS_20,Access Policy,Access Policy
CKV_AWS_22,Encryption at Rest,Encryption at Rest
CKV_AWS_24,IP Address binding,IP Address binding
CKV_AWS_25,IP Address binding,IP Address binding
CKV_AWS_26,Encryption at Rest,Encryption at Rest
CKV_AWS_27,Encryption at Rest,Encryption at Rest
CKV_AWS_29,Encryption at Rest,Encryption at Rest
CKV_AWS_30,Encryption in Transit,Encryption in Transit
CKV_AWS_31,Encryption in Transit,Encryption in Transit
CKV_AWS_32,Access Policy,Access Policy
CKV_AWS_33,Admin by default,Access Policy
CKV_AWS_34,Encryption in Transit,Encryption in Transit
CKV_AWS_35,Encryption at Rest,Encryption at Rest
CKV_AWS_38,IP Address binding,IP Address binding
CKV_AWS_39,Access Policy,Access Policy
CKV_AWS_40,Access Policy,Access Policy
CKV_AWS_41,Hard-coded secret,Hard-coded secret
CKV_AWS_42,Encryption at Rest,Encryption at Rest
CKV_AWS_43,Encryption at Rest,Encryption at Rest
CKV_AWS_44,Encryption at Rest,Encryption at Rest
CKV_AWS_45,Hard-coded secret,Hard-coded secret
CKV_AWS_46,Hard-coded secret,Hard-coded secret
CKV_AWS_47,Encryption at Rest,Encryption at Rest
CKV_AWS_48,Logging/Monitoring,Logging/Monitoring
CKV_AWS_49,Admin by default,Access Policy
CKV_AWS_50,Logging/Monitoring,Logging/Monitoring
CKV_AWS_53,Access Policy,Access Policy
CKV_AWS_54,Access Policy,Access Policy
CKV_AWS_55,Access Policy,Access Policy
CKV_AWS_56,Access Policy,Access Policy
CKV_AWS_57,Access Policy,Access Policy
CKV_AWS_58,Hard-coded secret,Encryption at Rest
CKV_AWS_59,Access Policy,Access Policy
CKV_AWS_60,Access Policy,Access Policy
CKV_AWS_61,Access Policy,Access Policy
CKV_AWS_62,Admin by default,Access Policy
CKV_AWS_63,Admin by default,Access Policy
CKV_AWS_64,Encryption at Rest,Encryption at Rest
CKV_AWS_67,Logging/Monitoring,Logging/Monitoring
CKV_AWS_68,Access Policy,Access Policy
CKV_AWS_69,Access Policy,Access Policy
CKV_AWS_71,Logging/Monitoring,Logging/Monitoring
CKV_AWS_72,Admin by default,Access Policy
CKV_AWS_73,Logging/Monitoring,Logging/Monitoring
CKV_AWS_76,Logging/Monitoring,Logging/Monitoring
CKV_AWS_77,Encryption at Rest,Encryption at Rest
CKV_AWS_79,Outdated feature,Access Policy
