code,original_category,assigned_category
CKV_AWS_1,Admin by default,Access policy
CKV_AWS_2,Encryption in transit,Encryption in transit
CKV_AWS_3,Encryption at rest,Encryption at rest
CKV_AWS_5,Encryption at rest,Encryption at rest
CKV_AWS_6,Encryption in transit,Encryption in transit
CKV_AWS_8,Encryption at rest,Encryption at rest
CKV_AWS_16,Encryption at rest,Encryption at rest
CKV_AWS_17,Access policy,Access policy
CKV_AWS_18,Logging/Monitoring,Logging/Monitoring
CKV_AWS_19,Encryption at rest,Encryption at rest
CKV_AWS_20,Access policy,Access policy
CKV_AWS_22,Encryption at rest,Encryption at rest
CKV_AWS_24,IP Address binding,IP Address binding
CKV_AWS_25,IP Address binding,IP Address binding
CKV_AWS_26,Encryption at rest,Encryption at rest
CKV_AWS_27,Encryption at rest,Encryption at rest
CKV_AWS_29,Encryption at rest,Encryption at rest
CKV_AWS_30,Encryption in transit,Encryption in transit
CKV_AWS_31,Encryption in transit,Encryption in transit
CKV_AWS_32,Access policy,Access policy
CKV_AWS_33,Admin by default,Access policy
CKV_AWS_34,Encryption in transit,Encryption in transit
CKV_AWS_35,Encryption at rest,Encryption at rest
CKV_AWS_38,IP Address binding,IP Address binding
CKV_AWS_39,Access policy,Access policy
CKV_AWS_40,Access policy,Access policy
CKV_AWS_41,Hard-coded secret,Hard-coded secret
CKV_AWS_42,Encryption at rest,Encryption at rest
CKV_AWS_43,Encryption at rest,Encryption at rest
CKV_AWS_44,Encryption at rest,Encryption at rest
CKV_AWS_45,Hard-coded secret,Hard-coded secret
CKV_AWS_46,Hard-coded secret,Hard-coded secret
CKV_AWS_47,Encryption at rest,Encryption at rest
CKV_AWS_48,Logging/Monitoring,Logging/Monitoring
CKV_AWS_49,Admin by default,Access policy
CKV_AWS_50,Logging/Monitoring,Logging/Monitoring
CKV_AWS_53,Access policy,Access policy
CKV_AWS_54,Access policy,Access policy
CKV_AWS_55,Access policy,Access policy
CKV_AWS_56,Access policy,Access policy
CKV_AWS_57,Access policy,Access policy
CKV_AWS_58,Hard-coded secret,Encryption at rest
CKV_AWS_59,Access policy,Access policy
CKV_AWS_60,Access policy,Access policy
CKV_AWS_61,Access policy,Access policy
CKV_AWS_62,Admin by default,Access policy
CKV_AWS_63,Admin by default,Access policy
CKV_AWS_64,Encryption at rest,Encryption at rest
CKV_AWS_67,Logging/Monitoring,Logging/Monitoring
CKV_AWS_68,Access policy,Access policy
CKV_AWS_69,Access policy,Access policy
CKV_AWS_71,Logging/Monitoring,Logging/Monitoring
CKV_AWS_72,Admin by default,Access policy
CKV_AWS_73,Logging/Monitoring,Logging/Monitoring
CKV_AWS_76,Logging/Monitoring,Logging/Monitoring
CKV_AWS_77,Encryption at rest,Encryption at rest
CKV_AWS_79,Outdated feature,Access policy
CKV_AWS_83,Encryption in transit,Encryption in transit
CKV_AWS_84,Logging/Monitoring,Logging/Monitoring
CKV_AWS_87,Access policy,Access policy
CKV_AWS_88,IP Address binding,IP Address binding
