antecedents,consequents,Support,Confidence,Lift
VERY_LOW_commiters,VERY_LOW_commits,0.9033942558746736,0.9719101123595505,1.0575044688457609
VERY_LOW_commits,VERY_LOW_commiters,0.9033942558746736,0.9829545454545454,1.0575044688457609
VERY_LOW_commiters,VERY_LOW_forks,0.9112271540469974,0.9803370786516854,1.020296470444553
VERY_LOW_forks,VERY_LOW_commiters,0.9112271540469974,0.9483695652173912,1.020296470444553
VERY_LOW_commiters,VERY_LOW_stars,0.9190600522193212,0.9887640449438203,1.0262781279498188
VERY_LOW_stars,VERY_LOW_commiters,0.9190600522193212,0.9539295392953929,1.0262781279498188
VERY_LOW_forks,VERY_LOW_commits,0.8955613577023499,0.9320652173913043,1.0141505064229248
VERY_LOW_commits,VERY_LOW_forks,0.8955613577023499,0.9744318181818181,1.0141505064229248
VERY_LOW_commits,VERY_LOW_stars,0.9033942558746736,0.9829545454545454,1.0202482138457747
VERY_LOW_stars,VERY_LOW_commits,0.9033942558746736,0.9376693766937668,1.0202482138457747
VERY_LOW_forks,VERY_LOW_stars,0.9503916449086162,0.9891304347826086,1.0266584187581005
VERY_LOW_stars,VERY_LOW_forks,0.9503916449086162,0.9864498644986449,1.0266584187581005
"VERY_LOW_commiters, MEDIUM_RATE",VERY_LOW_commits,0.4046997389033943,0.9627329192546584,1.0475190570299266
"MEDIUM_RATE, VERY_LOW_commits",VERY_LOW_commiters,0.4046997389033943,0.9748427672955975,1.0487774715567804
VERY_LOW_commiters,"MEDIUM_RATE, VERY_LOW_commits",0.4046997389033943,0.4353932584269663,1.0487774715567804
VERY_LOW_commits,"VERY_LOW_commiters, MEDIUM_RATE",0.4046997389033943,0.4403409090909091,1.0475190570299266
"VERY_LOW_commiters, MEDIUM_RATE",VERY_LOW_forks,0.40992167101827676,0.9751552795031055,1.0149034566567647
VERY_LOW_forks,"VERY_LOW_commiters, MEDIUM_RATE",0.40992167101827676,0.4266304347826087,1.0149034566567647
"VERY_LOW_commiters, MEDIUM_RATE",VERY_LOW_stars,0.40992167101827676,0.9751552795031055,1.012153040785066
"MEDIUM_RATE, VERY_LOW_stars",VERY_LOW_commiters,0.40992167101827676,0.9401197604790419,1.0114209782681827
VERY_LOW_commiters,"MEDIUM_RATE, VERY_LOW_stars",0.40992167101827676,0.4410112359550562,1.0114209782681827
VERY_LOW_stars,"VERY_LOW_commiters, MEDIUM_RATE",0.40992167101827676,0.4254742547425474,1.0121530407850663
"MEDIUM_RATE, VERY_LOW_commits",VERY_LOW_forks,0.4046997389033943,0.9748427672955975,1.0145782061799289
VERY_LOW_forks,"MEDIUM_RATE, VERY_LOW_commits",0.4046997389033943,0.4211956521739131,1.0145782061799289
"MEDIUM_RATE, VERY_LOW_commits",VERY_LOW_stars,0.4046997389033943,0.9748427672955975,1.011828671745837
"MEDIUM_RATE, VERY_LOW_stars",VERY_LOW_commits,0.4046997389033943,0.9281437125748503,1.0098836418072945
VERY_LOW_commits,"MEDIUM_RATE, VERY_LOW_stars",0.4046997389033943,0.4403409090909091,1.0098836418072945
VERY_LOW_stars,"MEDIUM_RATE, VERY_LOW_commits",0.4046997389033943,0.42005420054200543,1.011828671745837
"MEDIUM_RATE, VERY_LOW_forks",VERY_LOW_stars,0.43342036553524804,0.9822485207100592,1.0195154022546142
"MEDIUM_RATE, VERY_LOW_stars",VERY_LOW_forks,0.43342036553524804,0.9940119760479041,1.0345287685498568
VERY_LOW_forks,"MEDIUM_RATE, VERY_LOW_stars",0.43342036553524804,0.45108695652173914,1.0345287685498568
VERY_LOW_stars,"MEDIUM_RATE, VERY_LOW_forks",0.43342036553524804,0.44986449864498645,1.0195154022546142
"VERY_LOW_commiters, VERY_LOW_forks",VERY_LOW_commits,0.8851174934725848,0.9713467048710601,1.0568914430841363
"VERY_LOW_commiters, VERY_LOW_commits",VERY_LOW_forks,0.8851174934725848,0.9797687861271677,1.0197050138225685
"VERY_LOW_forks, VERY_LOW_commits",VERY_LOW_commiters,0.8851174934725848,0.988338192419825,1.063296426114587
VERY_LOW_commiters,"VERY_LOW_forks, VERY_LOW_commits",0.8851174934725848,0.952247191011236,1.0632964261145872
VERY_LOW_forks,"VERY_LOW_commiters, VERY_LOW_commits",0.8851174934725848,0.921195652173913,1.0197050138225685
VERY_LOW_commits,"VERY_LOW_commiters, VERY_LOW_forks",0.8851174934725848,0.9630681818181818,1.0568914430841365
"VERY_LOW_commiters, VERY_LOW_commits",VERY_LOW_stars,0.8929503916449086,0.9884393063583816,1.0259410686592416
"VERY_LOW_commiters, VERY_LOW_stars",VERY_LOW_commits,0.8929503916449086,0.9715909090909091,1.0571571539256197
"VERY_LOW_commits, VERY_LOW_stars",VERY_LOW_commiters,0.8929503916449086,0.9884393063583816,1.0634052088069106
VERY_LOW_commiters,"VERY_LOW_commits, VERY_LOW_stars",0.8929503916449086,0.9606741573033708,1.0634052088069106
VERY_LOW_commits,"VERY_LOW_commiters, VERY_LOW_stars",0.8929503916449086,0.9715909090909091,1.0571571539256197
VERY_LOW_stars,"VERY_LOW_commiters, VERY_LOW_commits",0.8929503916449086,0.9268292682926829,1.0259410686592414
"VERY_LOW_commiters, VERY_LOW_forks",VERY_LOW_stars,0.9086161879895561,0.997134670487106,1.034966338202064
"VERY_LOW_commiters, VERY_LOW_stars",VERY_LOW_forks,0.9086161879895561,0.9886363636363635,1.028934041501976
"VERY_LOW_forks, VERY_LOW_stars",VERY_LOW_commiters,0.9086161879895561,0.9560439560439561,1.028552907766391
VERY_LOW_commiters,"VERY_LOW_forks, VERY_LOW_stars",0.9086161879895561,0.9775280898876405,1.028552907766391
VERY_LOW_forks,"VERY_LOW_commiters, VERY_LOW_stars",0.9086161879895561,0.9456521739130435,1.0289340415019763
VERY_LOW_stars,"VERY_LOW_commiters, VERY_LOW_forks",0.9086161879895561,0.9430894308943089,1.034966338202064
"VERY_LOW_forks, VERY_LOW_commits",VERY_LOW_stars,0.8929503916449086,0.9970845481049563,1.0349143141577188
"VERY_LOW_forks, VERY_LOW_stars",VERY_LOW_commits,0.8929503916449086,0.9395604395604396,1.0223058191808192
"VERY_LOW_commits, VERY_LOW_stars",VERY_LOW_forks,0.8929503916449086,0.9884393063583816,1.0287289519979896
VERY_LOW_forks,"VERY_LOW_commits, VERY_LOW_stars",0.8929503916449086,0.9293478260869565,1.0287289519979894
VERY_LOW_commits,"VERY_LOW_forks, VERY_LOW_stars",0.8929503916449086,0.9715909090909091,1.0223058191808192
VERY_LOW_stars,"VERY_LOW_forks, VERY_LOW_commits",0.8929503916449086,0.9268292682926829,1.0349143141577186
"VERY_LOW_commiters, VERY_LOW_forks, MEDIUM_RATE",VERY_LOW_commits,0.39425587467362927,0.961783439490446,1.0464859583092068
